Eucalyptus grandis, 104421642, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Eucalyptus grandis, 104454447, peroxidase P7-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104453312, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104456608, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104456609, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104451210, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104450403, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104416343, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104422178, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104422728, peroxidase 49  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104446864, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104447557, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104451628, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104417555, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104456607, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104454440, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104454442, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104450451, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104415135, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104448988, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104445709, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104445747, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104445538, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104452760, LOW QUALITY PROTEIN: peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104414959, peroxidase 24  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104415138, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104418762, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104450881, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104441401, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 108956804, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104428966, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104431036, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104431962, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104422180, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104422713, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104425094, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104425008, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104430645, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104430693, cationic peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104430695, peroxidase N1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104425097, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104417991, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104419915, peroxidase N1 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104422587, peroxidase 63  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104424769, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104430505, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104425095, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104430774, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104419691, peroxidase 41  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104428971, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Eucalyptus grandis, 104456854, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Eucalyptus grandis, 104456852, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Eucalyptus grandis, 104456853, anthocyanidin 3-O-glucosyltransferase 5 isoform X1  [EC], ['EC:2.4.1.111'], KO:K12356
Eucalyptus grandis, 104416468, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Eucalyptus grandis, 104456855, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Eucalyptus grandis, 104416469, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Eucalyptus grandis, 104456857, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Eucalyptus grandis, 104416462, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Eucalyptus grandis, 104456851, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Eucalyptus grandis, 104456850, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Eucalyptus grandis, 104456858, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Eucalyptus grandis, 104419770, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Eucalyptus grandis, 104420799, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Eucalyptus grandis, 104429817, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Eucalyptus grandis, 104429813, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Eucalyptus grandis, 104429815, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Eucalyptus grandis, 104421431, beta-glucosidase 11 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Eucalyptus grandis, 104427078, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Eucalyptus grandis, 104450188, putative beta-glucosidase 41  [EC], ['EC:3.2.1.21'], KO:K01188
Eucalyptus grandis, 104453907, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Eucalyptus grandis, 104443077, uncharacterized protein LOC104443077 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05349
Eucalyptus grandis, 104432666, uncharacterized protein LOC104432666  [EC], ['EC:3.2.1.21'], KO:K05349
Eucalyptus grandis, 104432675, uncharacterized protein LOC104432675  [EC], ['EC:3.2.1.21'], KO:K05349
Eucalyptus grandis, 104454066, uncharacterized protein LOC104454066  [EC], ['EC:3.2.1.21'], KO:K05349
Eucalyptus grandis, 104423455, uncharacterized protein LOC104423455  [EC], ['EC:3.2.1.21'], KO:K05349
Eucalyptus grandis, 104423456, uncharacterized protein LOC104423456  [EC], ['EC:3.2.1.21'], KO:K05349
Eucalyptus grandis, 104421387, uncharacterized protein LOC104421387  [EC], ['EC:3.2.1.21'], KO:K05349
Eucalyptus grandis, 104421386, uncharacterized protein LOC104421386  [EC], ['EC:3.2.1.21'], KO:K05349
Eucalyptus grandis, 104422078, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Eucalyptus grandis, 104422095, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Eucalyptus grandis, 104422088, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Eucalyptus grandis, 104414380, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Eucalyptus grandis, 104456038, beta-glucosidase 18  [EC], ['EC:3.2.1.21'], KO:K05350
Eucalyptus grandis, 104445734, beta-glucosidase 46 isoform X3  [EC], ['EC:3.2.1.21'], KO:K05350
Eucalyptus grandis, 104414381, beta-glucosidase 18 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Eucalyptus grandis, 104423698, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Eucalyptus grandis, 104418277, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104418279, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104418294, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104418296, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104418295, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104418249, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104418250, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104418698, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104418699, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104418701, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104420243, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104420272, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104453761, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104445127, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104453185, scopoletin glucosyltransferase isoform X1  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104455688, UDP-glucose flavonoid 3-O-glucosyltransferase 7  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104437131, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104453891, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104453892, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104418705, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104431485, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104455680, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104455681, UDP-glucose flavonoid 3-O-glucosyltransferase 7  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104418276, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104418278, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104418297, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104418704, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104445126, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
Eucalyptus grandis, 104420244, scopoletin glucosyltransferase  [EC], ['EC:2.4.1.128'], KO:K23260
