Gossypium hirsutum, 107944640, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium hirsutum, 107915919, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107906803, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107909128, peroxidase 53-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107953723, peroxidase 46  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107938115, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107889615, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107889645, peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107901996, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107892853, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107896435, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107896436, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107898918, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107912929, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107921848, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107921888, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107945916, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107958589, peroxidase 31-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107898089, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107908967, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107908968, peroxidase N1-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107893939, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107921914, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107924255, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107928809, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107934419, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107913636, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107915957, peroxidase P7-like isoform X2  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107915945, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107958963, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107892954, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107903099, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107905464, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107909987, peroxidase 3-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107946327, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107936721, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107946726, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107947912, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107934750, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107937102, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107937110, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107958203, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107914564, cationic peroxidase 1-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107915669, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107939367, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107939386, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107939396, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107959823, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107905931, peroxidase 42-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107908295, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107890793, LOW QUALITY PROTEIN: peroxidase 12  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107904435, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107905536, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107896674, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107925084, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107928492, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107928493, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107932995, peroxidase 45  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107934116, peroxidase N1  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107925471, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107957038, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107911435, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107957949, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107904826, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107908372, peroxidase 40 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107952179, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107910290, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107945362, peroxidase 51-like precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107951347, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107936823, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107936831, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107936832, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107936833, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107886544, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121216781, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121217751, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121219268, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121219973, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121220086, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121220788, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121221009, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121221010, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121222166, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121222456, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121223077, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121224414, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121228266, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121229066, peroxidase P7-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121231926, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107907735, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107942674, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107960866, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121202803, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121202811, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121206320, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121206321, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121206323, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121208273, peroxidase 50-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121209489, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121211110, peroxidase 20-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121211271, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121214674, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 121215488, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Gossypium hirsutum, 107944089, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Gossypium hirsutum, 107927767, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Gossypium hirsutum, 107920494, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Gossypium hirsutum, 107942297, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Gossypium hirsutum, 107942298, UDP-glycosyltransferase 72E2-like  [EC], ['EC:2.4.1.111'], KO:K12356
Gossypium hirsutum, 107909375, UDP-glycosyltransferase 72E1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Gossypium hirsutum, 107926612, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Gossypium hirsutum, 107945668, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Gossypium hirsutum, 107893663, beta-glucosidase 40-like  [EC], ['EC:3.2.1.21'], KO:K01188
Gossypium hirsutum, 107920057, putative beta-glucosidase 41 isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Gossypium hirsutum, 107951944, beta-glucosidase 42  [EC], ['EC:3.2.1.21'], KO:K01188
Gossypium hirsutum, 107918363, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Gossypium hirsutum, 107921228, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium hirsutum, 107943250, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium hirsutum, 107925851, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium hirsutum, 107943616, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium hirsutum, 107887611, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium hirsutum, 107941931, beta-glucosidase BoGH3B-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium hirsutum, 107941936, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium hirsutum, 107959239, lysosomal beta glucosidase  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium hirsutum, 107891680, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium hirsutum, 107901787, beta-glucosidase BoGH3B-like precursor  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium hirsutum, 107891956, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium hirsutum, 107904388, beta-glucosidase BoGH3B  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium hirsutum, 121229084, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium hirsutum, 107893769, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium hirsutum, 107906603, beta-glucosidase BoGH3B-like  [EC], ['EC:3.2.1.21'], KO:K05349
Gossypium hirsutum, 107925187, beta-glucosidase 46  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107925188, beta-glucosidase 46-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107925189, beta-glucosidase 46-like isoform X2  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107935376, beta-glucosidase 46 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107902621, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107953918, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107961977, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107961978, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107888800, beta-glucosidase 44 isoform X2  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107945844, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107920189, beta-glucosidase 18 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107901943, beta-glucosidase 46-like isoform X3  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107936626, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107961272, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107903150, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107903153, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107903154, beta-glucosidase 44-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107895281, beta-glucosidase 18 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107935377, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107960698, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 121203088, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Gossypium hirsutum, 107891457, feruloyl CoA ortho-hydroxylase F6H1-3-like  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium hirsutum, 107909062, feruloyl CoA ortho-hydroxylase F6H1-3-like  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium hirsutum, 107912965, feruloyl CoA ortho-hydroxylase F6H1-3  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium hirsutum, 107945535, feruloyl CoA ortho-hydroxylase F6H1-3-like  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium hirsutum, 107919558, feruloyl CoA ortho-hydroxylase F6H1-3  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium hirsutum, 107919564, feruloyl CoA ortho-hydroxylase F6H1-3  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium hirsutum, 107911341, feruloyl CoA ortho-hydroxylase F6H1-3  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium hirsutum, 107911342, feruloyl CoA ortho-hydroxylase F6H1-3-like  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium hirsutum, 107943772, feruloyl CoA ortho-hydroxylase F6H1-3-like  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium hirsutum, 121204738, feruloyl CoA ortho-hydroxylase F6H1-3-like  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium hirsutum, 121204739, feruloyl CoA ortho-hydroxylase F6H1-3-like  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium hirsutum, 121204740, feruloyl CoA ortho-hydroxylase F6H1-3-like  [EC], ['EC:1.14.11.61'], KO:K06892
Gossypium hirsutum, 107953382, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Gossypium hirsutum, 107953383, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Gossypium hirsutum, 107894291, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Gossypium hirsutum, 107945137, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Gossypium hirsutum, 121215969, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Gossypium hirsutum, 121225662, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Gossypium hirsutum, 121212218, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
