Papaver somniferum, 113328160, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Papaver somniferum, 113292816, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113340924, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113341731, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113276361, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113278465, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113278492, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113274167, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113274168, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113281195, peroxidase 43-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113282759, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113303608, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113279716, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113287857, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113288987, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113312081, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113304374, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113292585, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113314110, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113331421, peroxidase 55-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113340300, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113308243, peroxidase 44-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113320568, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113320569, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113335618, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113273358, uncharacterized protein LOC113273358  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113318852, peroxidase 55-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113339075, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113329634, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113330431, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113323081, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113323101, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113323102, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113323113, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113330153, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113342478, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113338068, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113292890, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113292898, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113345365, peroxidase 39-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113345456, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113286759, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113274285, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113279272, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113297980, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113299281, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113300614, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113303662, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113303722, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113304968, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113305003, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113306175, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113306216, peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113307952, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113273756, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113273770, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113287935, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113295973, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113305397, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113353546, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113361700, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113361730, peroxidase 56-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113347500, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113355792, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113362127, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113362128, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113352631, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113360954, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113360955, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113360957, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113360958, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113348280, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113351909, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113353079, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113353128, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113353147, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113353172, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113348405, peroxidase 20-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113357796, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113357801, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113352237, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113357211, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113357212, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113357213, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113361011, peroxidase 47-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113353194, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113353197, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113353202, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113361403, peroxidase 35-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113361404, peroxidase 35-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113352109, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113355498, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113356646, peroxidase 51-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113359093, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113361596, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113353792, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113353860, peroxidase 20-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113347696, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113358095, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113361985, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113361987, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113362069, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113354422, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113358510, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113353052, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113361174, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113361183, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113361190, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Papaver somniferum, 113330715, UDP-glycosyltransferase 72E3-like  [EC], ['EC:2.4.1.111'], KO:K12356
Papaver somniferum, 113303951, beta-glucosidase 22-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K01188
Papaver somniferum, 113313920, uncharacterized protein LOC113313920  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113320717, uncharacterized protein LOC113320717  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113322098, uncharacterized protein LOC113322098  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113322672, uncharacterized protein LOC113322672  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113312828, uncharacterized protein LOC113312828  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113324160, uncharacterized protein LOC113324160  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113320844, uncharacterized protein LOC113320844  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113313701, uncharacterized protein LOC113313701  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113324497, uncharacterized protein LOC113324497  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113307901, uncharacterized protein LOC113307901 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113310978, uncharacterized protein LOC113310978  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113321427, uncharacterized protein LOC113321427  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113310360, uncharacterized protein LOC113310360  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113328859, uncharacterized protein LOC113328859  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113344365, beta-glucosidase 1-like  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113308012, uncharacterized protein LOC113308012  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113294850, uncharacterized protein LOC113294850  [EC], ['EC:3.2.1.21'], KO:K05349
Papaver somniferum, 113308845, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Papaver somniferum, 113303774, beta-glucosidase 44-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Papaver somniferum, 113326982, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Papaver somniferum, 113340025, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Papaver somniferum, 113297598, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Papaver somniferum, 113326760, beta-glucosidase 43-like  [EC], ['EC:3.2.1.21'], KO:K05350
Papaver somniferum, 113301784, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Papaver somniferum, 113318517, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Papaver somniferum, 113322572, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Papaver somniferum, 113357972, beta-glucosidase 18-like  [EC], ['EC:3.2.1.21'], KO:K05350
Papaver somniferum, 113348704, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Papaver somniferum, 113322279, UDP-glucose flavonoid 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113289128, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113289130, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113289131, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113291424, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113291425, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113311437, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113338632, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113346631, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113346637, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113292700, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113292710, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113292719, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113292736, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113292745, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113292756, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113290159, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
Papaver somniferum, 113338815, scopoletin glucosyltransferase-like  [EC], ['EC:2.4.1.128'], KO:K23260
