C00030623 143617-02-1 Lamiuside A || (-)-Lamiuside A C35H46O20 786.25824391 
C00030624 925676-09-1 Lamiuside B || (-)-Lamiuside B C36H48O20 800.27389398 
C00030625 917113-42-9 Lamiuside C C35H46O20 786.25824391 
C00030626 925676-10-4 Lamiuside D || (-)-Lamiuside D C36H48O21 816.2688086 
C00030627 925676-11-5 Lamiuside E C37H50O20 814.28954404 
C00030657 83529-62-8 Leucosceptoside A C30H38O15 638.22107055 
C00030695 188441-29-4 Luteoside B || Newbouldioside C34H44O19 756.24767923 
C00030744 705941-38-4 Meshimakobnol A || Phelligridin D C20H12O8 380.05321736 
C00030826 1037306-22-1 Nitensoside B C28H32O16 624.16903498 
C00030980 852126-73-9 Phelligridin G C32H18O12 594.07982604 
C00031052 147331-98-4 Plantainoside D || (+)-Plantainoside D C29H36O16 640.20033511 
C00031070 94079-81-9 Poliumoside C35H46O19 770.26332929 
C00031115 549-32-6 Reinutrin || Quercetin 3-O-beta-D-xylopyranoside C20H18O11 434.08491142 
C00031122 431981-74-7 Radicamine A || (+)-Radicamine A C12H17NO5 255.11067266 
C00031321 1105671-01-9 Scillavone B C18H19O7 347.11307796 
C00031325 705964-02-9 Scroside D || (-)-Scroside D C30H38O16 654.21598517 
C00031552 103917-25-5 3-(Z)-Caffeoyllupeol C39H56O4 588.41786028 
C00031657 158732-56-0 Cassigarol E C28H22O8 486.13146768 
C00031714 111613-04-8 Cyanidin 3-O-alpha-L-arabinopyranoside C20H19O10 419.09782183 
C00031716 872418-98-9 Cypellogin A || (-)-Cypellogin A C31H34O14 630.1948558 
C00031717 872418-99-0 Cypellogin B || (+)-Cypellogin B C31H34O14 630.1948558 
C00031718 872419-00-6 Cypellogin C || (+)-Cypellogin C C31H36O14 632.21050586 
C00031850 165338-27-2 Hemiphroside A C31H40O16 668.23163523 
C00031854 853233-65-5 Hibicusin || (+)-Hibicusin C48H60O9 780.42373351 
C00031889 109063-85-6 Isoamericanin A C18H16O6 328.09468824 
C00031902 71117-97-0 Isogarcinol || Cambogin C38H50O6 602.36073933 
C00031982 121521-90-2 Salvianolic acid B || Lithospermic acid B C36H30O16 718.15338491 
C00031986 171596-07-9 Lupeol caffeate C39H56O4 588.41786028 
C00032038 142877-49-4 Myriceric acid A C39H52O7 632.37130401 
C00032040 162059-94-1 Myriceric acid C C48H60O10 796.41864814 
C00032042 723334-70-1 Myriophylloside B || (-)-Myriophylloside B C41H44O22 888.23242309 
C00032043 723334-72-3 Myriophylloside C || (-)-Myriophylloside C C41H44O23 904.22733772 
C00032045 723334-78-9 Myriophylloside E || (-)-Myriophylloside E C42H46O23 918.24298778 
C00032132 909803-27-6 Sinocrassoside B1 || (+)-Sinocrassoside B1 C25H26O12 518.1424263 
C00032133 909803-28-7 Sinocrassoside B2 || (-)-Sinocrassoside B2 C26H28O12 532.15807636 
C00032134 909803-29-8 Sinocrassoside B3 || (-)-Sinocrassoside B3 C32H38O17 694.21089979 
C00032135 909803-30-1 Sinocrassoside B4 || (-)-Sinocrassoside B4 C38H48O22 856.26372322 
C00032136 909803-31-2 Sinocrassoside B5 || (-)-Sinocrassoside B5 C42H54O24 942.30050266 
C00032138 909803-32-3 Sinocrassoside D1 || (+)-Sinocrassoside D1 C26H28O13 548.15299098 
C00032139 909803-33-4 Sinocrassoside D2 || (+)-Sinocrassoside D2 C27H30O17 626.14829954 
C00032140 1107059-87-9 Sinocrassoside D3 || (+)-Sinocrassoside D3 C29H32O18 668.15886422 
C00032463 677709-69-2 Uralstilbene C24H30O4 382.21440945 
C00032589 359819-44-6 1,3-Di-O-(E)-Caffeoyl-4-O-galloyl-beta-D-glucopyranose C31H28O16 656.13773485 
C00032590 359819-38-8 1,3-Di-O-(E)-Caffeoyl-beta-D-glucopyranose || (-)-1,3-Di-O-(E)-Caffeoyl-beta-D-glucopyranose C24H24O12 504.12677623 
C00032652 359819-45-7 3-O-(E)-Caffeoyl-1,4-di-O-galloyl-beta-D-glucopyranose C29H26O17 646.11699941 
C00032670 359819-48-0 6-O-(E)-Caffeoyl-1,3,4-tri-O-galloyl-beta-D-glucopyranose C36H30O21 798.12795803 
C00032702 133838-65-0 Americanol A C18H18O6 330.11033831 
C00032705 297137-13-4 Amurenoside A || (-)-Amurenoside A C43H48O23 932.25863784 
C00032706 297137-14-5 Amurenoside B || (-)-Amurenoside B C43H48O23 932.25863784 
C00032843 344590-73-4 Clematibetoside A || (-)-Clematibetoside A C85H130O43 1838.79858291 
C00032915 388077-45-0 Dracunculifoside B || (-)-Dracunculifoside B C22H22O12 478.11112617 
C00032916 388077-46-1 Dracunculifoside C || (-)-Dracunculifoside C C24H26O12 506.1424263 
C00032917 388077-47-2 Dracunculifoside D || (-)-Dracunculifoside D C26H30O11 518.1788118 
C00032918 388077-48-3 Dracunculifoside E || (-)-Dracunculifoside E C18H24O10 400.13694699 
C00032919 388077-49-4 Dracunculifoside F || (-)-Dracunculifoside F C24H34O13 530.19994117 
C00032920 388077-50-7 Dracunculifoside G || (-)-Dracunculifoside G C23H32O13 516.18429111 
C00032921 388077-51-8 Dracunculifoside H || (-)-Dracunculifoside H C27H32O13 564.18429111 
C00032922 388077-52-9 Dracunculifoside I || (-)-Dracunculifoside I C30H36O15 636.20542048 
C00032924 454198-18-6 Dracunculifoside K || (-)-Dracunculifoside K C25H28O11 504.16316174 
C00032925 454198-19-7 Dracunculifoside L || (-)-Dracunculifoside L C28H30O13 574.16864105 
C00032928 454199-80-5 Dracunculifoside O || (-)-Dracunculifoside O C28H34O13 578.19994117 
C00032929 454200-09-0 Dracunculifoside P || (-)-Dracunculifoside P C26H36O13 556.21559124 
C00032930 454200-44-3 Dracunculifoside Q || (-)-Dracunculifoside Q C25H36O13 544.21559124 
C00033028 330800-10-7 Hymenoside B || (-)-Hymenoside B C27H32O13 564.18429111 
C00033029 330800-11-8 Hymenoside C || (-)-Hymenoside C C27H32O12 548.18937649 
C00033030 330800-12-9 Hymenoside D || (-)-Hymenoside D C27H32O12 548.18937649 
C00033031 330800-13-0 Hymenoside E || (-)-Hymenoside E C27H32O13 564.18429111 
C00033032 330800-14-1 Hymenoside F || (-)-Hymenoside F C35H38O15 698.22107055 
C00033033 394212-41-0 Hymenoside G || (-)-Hymenoside G C35H38O17 730.21089979 
C00033034 394212-42-1 Hymenoside H || (-)-Hymenoside H C35H38O17 730.21089979 
C00033043 458568-28-0 Hymenoside Q || (-)-Hymenoside Q C19H26O10 414.15259705 
C00033044 458568-29-1 Hymenoside R || (-)-Hymenoside R C19H26O10 414.15259705 
C00033047 455894-48-1 Hymenoside U || (-)-Hymenoside U C20H26O11 442.14751167 
C00033058 133838-66-1 Isoamericanol A C18H18O6 330.11033831 
C00033293 365513-42-4 Phlomisflavoside A || (-)-Phlomisflavoside A C26H28O16 596.13773485 
C00033305 371113-08-5 Pisumflavonoside I || (-)-Pisumflavonoside I C42H46O24 934.2379024 
C00033306 371113-09-6 Pisumflavonoside II || (-)-Pisumflavonoside II C48H56O29 1096.29072583 
C00033319 372965-72-5 Plectranthol A || (-)-Plectranthol A C27H30O6 450.20423869 
C00033320 372965-74-7 Plectranthol B || (-)-Plectranthol B C32H40O7 536.27740363 
C00033438 267006-18-8 Tetradehydroreticuline C19H20NO4 326.13923313 
C00033467 448963-58-4 Verpectoside A || (-)-Verpectoside A C35H46O19 770.26332929 
C00033468 306287-87-6 Verpectoside B || (+)-Verpectoside B C35H46O20 786.25824391 
C00033469 448963-65-3 Verpectoside C || (+)-Verpectoside C C36H48O20 800.27389398 
C00033501 156318-62-6 (+)-Catechin 3-O-beta-D-galactopyranoside C21H24O11 452.13186161 
C00033559 89919-62-0 3,5-Caffeoyl quinic acid || (-)-3,5-Dicaffeoyl quinic acid || 3,5-di-O-Caffeoylquinic acid C25H24O12 516.12677623 
C00033564 1104327-81-2 3-O-(2-O-beta-Xylopyranosyl-6-O-(Z)-p-coumaroyl)-beta-galactopyranoside C35H35O17 727.1874247 
C00033613 1065213-69-5 Aeschynanthoside A || (-)-Aeschynanthoside A C30H36O16 652.20033511 
C00033614 1065213-70-8 Aeschynanthoside B || (-)-Aeschynanthoside B C31H38O16 666.21598517 
C00033616 1065213-77-5 Aeschynanthoside D || (-)-Aeschynanthoside D C30H36O16 652.20033511 
C00033685 84744-28-5 Calceolarioside A C23H26O11 478.14751167 
C00033686 105471-98-5 Calceolarioside B C23H26O11 478.14751167 
C00033687 117477-59-5 Calceolarioside E C28H34O15 610.18977042 
C00033739 142506-19-2 Cyanidin 3-O-(2-O-beta-xylopyranosyl)-beta-galactopyranoside C26H29O15 581.15064526 
C00033740 1106838-62-3 Cyanidin 3-O-(2-O-beta-xylopyranosyl-6-O-(E)-caffeoyl)-beta-galactopyranoside C35H35O18 743.18233932 
C00033741 1104327-85-6 Cyanidin 3-O-(2-O-beta-xylopyranosyl-6-O-(E)-p-coumaroyl)-beta-galactopyranoside C35H35O17 727.1874247 
C00033742 1104327-92-5 Cyanidin 3-O-(2-O-beta-xylopyranosyl-6-O-acetyl)-beta-galactopyranoside C28H31O16 623.16120995 
C00033743 1104327-96-9 Cyanidin 3-O-(2-O-beta-xylopyranosyl-6-O-acetyl)-beta-glucopyranoside C28H31O16 623.16120995 
C00033963 1039082-04-6 Isozygolone A || (+)-Isozygolone A C21H20O5 352.13107375 
C00034011 1023755-10-3 Kurilensin A || (-)-Kurilensin A C26H28O14 564.14790561 
C00034012 1023755-11-4 Kurilensin B || (-)-Kurilensin B C25H26O14 550.13225554 
C00034145 1010430-48-4 Piceaside A C40H42O18 810.23711454 
C00034146 1010430-49-5 Piceaside B C40H42O18 810.23711454 
C00034151 1009835-59-9 Piceaside G C40H42O18 810.23711454 
C00034152 1009835-60-2 Piceaside H C40H42O18 810.23711454 
C00034207 113557-97-4 Sanangoside C23H26O11 478.14751167 
C00034326 483363-91-3 trans-Scirpusin A C28H22O7 470.13655306 
C00034354 1039082-00-2 Zygolone A || (+)-Zygolone A C21H20O5 352.13107375 
C00034379 946569-82-0 2''-Epifraxamoside C25H30O13 538.16864105 
C00034563 120406-34-0 Jionoside D C30H38O15 638.22107055 
C00034597 67884-12-2 Martynoside C31H40O15 652.23672061 
C00034632 479030-51-8 Piperphilippinin I C19H20O6 344.12598837 
C00034633 942293-43-8 Piperphilippinin II || (-)-Piperphilippinin II C19H18O6 342.11033831 
C00034798 94130-58-2 Arenarioside || Forsythoside F C34H44O19 756.24767923 
C00034810 114217-04-8 Calceolarioside C C28H34O15 610.18977042 
C00034853 879215-60-8 Glypentoside C || p(-)-Glypentoside C C38H44O18 788.25276461 
C00034857 876184-80-4 Hebeoside C34H44O19 756.24767923 
C00034886 883456-35-7 Prolinalin A C20H17O8 385.09234252 
C00034887 883456-37-9 Prolinalin B C20H17NO8 399.09541653 
C00034943 886854-76-8 Newbouldioside A || (-)-Newbouldioside A C34H46O20 774.25824391 
C00035113 921223-23-6 Helicioside B || (+)-Helicioside B C21H22O12 466.11112617 
C00035177 115909-22-3 Angoroside C C36H48O19 784.27897935 
C00035259 97411-47-7 Cistanoside F || Ligupurpuroside E C21H28O13 488.15299098 
C00035295 869669-61-4 Dulcisflavan || (-)-Dulcisflavan C15H14O8 322.06886743 
C00035323 865096-00-0 Guttiferone I C38H50O6 602.36073933 
C00035361 851780-22-8 Orchioside B || (+)-Orchioside B C23H26O10 462.15259705 
C00035379 104777-69-7 Purpureaside B C35H46O20 786.25824391 
C00035409 858134-27-7 Terrestrin E C12H30O11 350.1788118 
C00035656 215118-17-5 Hypolaetin 7-O-glucuronide C21H18O13 478.07474066 
C00035677 871796-44-0 Loniflavone C30H18O10 538.0899968 
C00035934 89130-86-9 3-O-(E)-Caffeoylbetulin || 3-(E)-Caffeoylbetulin C39H56O5 604.4127749 
C00036009 791846-68-9 Spicoside D || 3'-Hydroxyscutellarein 7-O-(6''-O-trans-feruloyl)-beta-glucopyranoside C28H24O15 600.1115201 
C00036035 142674-76-8 Alyssonoside C35H46O19 770.26332929 
C00036040 625855-85-8 Aragoside || (-)-Aragoside C34H44O20 772.24259385 
C00036042 188441-89-6 Ballotetroside C39H52O23 888.28993797 
C00036073 140187-18-4 Buddlejoside A13 C46H56O24 992.31615272 
C00036074 140386-87-4 Buddlejoside A16 C46H56O24 992.31615272 
C00036138 444105-70-8 Marruboside || (-)-Marruboside C39H52O23 888.28993797 
C00036235 629647-90-1 Velutinoside I C40H54O24 918.30050266 
C00036236 629647-91-2 Velutinoside II C41H56O24 932.31615272 
C00036501 366018-57-7 O-Apiosylverbascoside || 2''-O-beta-Apiosylverbascoside C34H44O19 756.24767923 
C00036584 5928-45-0 5,3'-Dihydroxy-7-4'-dimethoxyflavanone C17H16O6 316.09468824 
C00036695 610786-31-7 Agnucastoside C || (-)-Agnucastoside C C34H36O15 684.20542048 
C00036800 109279-13-2 beta-Hydroxyacteoside C29H36O16 640.20033511 
C00036803 81555-08-0 bis-8,8'-Catechinylmethane C31H28O12 592.15807636 
C00036871 95519-12-3 Campneoside I C30H38O16 654.21598517 
C00036970 156161-96-5 Curculigine C23H28O12 496.15807636 
C00036981 47888-56-2 Cyanidin 3-O-sophoroside-5-O-glucoside C33H41N21 731.38538046 
C00037059 54844-34-7 Dimethyl lithospermate C29H26O12 566.1424263 
C00037060 875313-64-7 Dimethyl lithospermate B C38H34O16 746.18468504 
C00037161 326594-34-7 Fraxamoside || (-)-Fraxamoside C25H30O13 538.16864105 
C00037212 280570-09-4 Goodyerin || (+)-Goodyerin C36H40O19 776.2163791 
C00037230 219538-86-0 Guttiferone F || (-)-Guttiferone F C38H50O6 602.36073933 
C00037316 571166-71-7 Isoamericanol C1 C27H26O9 494.15768243 
C00037317 571166-72-8 Isoamericanol C2 C27H26O9 494.15768243 
C00037341 571166-70-6 Isoprincepin C27H26O9 494.15768243 
C00037437 117457-37-1 Lugrandoside || (-)-Lugrandoside C29H36O16 640.20033511 
C00037441 53527-43-8 Luteolin 4'-glucuronide C21H18O12 462.07982604 
C00037442 205446-63-5 Luteoside A || (-)-Luteoside A C36H46O20 798.25824391 
C00037468 63335-25-1 Malabaricone C C21H26O5 358.17802394 
C00037478 443340-67-8 Markhamioside C || (+)-Markhamioside C C34H44O19 756.24767923 
C00037479 443340-68-9 Markhamioside D || (-)-Markhamioside D C36H46O20 798.25824391 
C00037480 443340-72-5 Markhamioside E || (-)-Markhamioside E C37H48O21 828.2688086 
C00037508 382137-54-4 Monacanthin A C41H32O25 924.12326658 
C00037509 382137-55-5 Monacanthin B C34H28O21 772.11230796 
C00037645 229971-57-7 Pilosidine || (+)-Pilosidine C23H26O11 478.14751167 
C00037686 571166-69-3 Princepin C27H26O9 494.15768243 
C00037687 178273-45-5 Prionitiside A C21H20O12 464.09547611 
C00037688 178273-46-6 Prionitiside B C27H30O16 610.15338491 
C00037690 249287-43-2 Procyanidin B5 3'-O-gallate || (+)-Procyanidin B5 3'-O-gallate C37H30O16 730.15338491 
C00037694 136112-75-9 Przewalskinic acid A C18H14O8 358.06886743 
C00037715 119152-54-4 Rabdosiin || (-)-Rabdosiin C36H30O16 718.15338491 
C00037740 136172-60-6 Robustaside B || (-)-Robustaside B C21H22O10 434.12129692 
C00037741 262352-31-8 Robustaside C || (-)-Robustaside C C27H32O15 596.17412036 
C00037761 482648-19-1 Safghanoside D || (-)-Safghanoside D C32H38O14 646.22615592 
C00037766 260549-30-2 Sagecoumarin C27H20O12 536.09547611 
C00037767 238752-75-5 Sagerinic acid || (+)-Sagerinic acid C36H32O16 720.16903498 
C00037775 142998-46-7 Salvianolic acid E C36H30O16 718.15338491 
C00037818 532929-71-8 Shogasulfonic acid B || (-)-Shogasulfonic acid B C20H24O8S 424.11918847 
C00037819 532929-72-9 Shogasulfonic acid C || (-)-Shogasulfonic acid C C19H22O8S 410.10353841 
C00037903 329685-54-3 Teucrol || 3',4'-Dihdyroxy-beta-phenylethyl caffeate C17H16O6 316.09468824 
C00037949 543725-41-3 Trilobatin J || (-)-Trilobatin J C52H46O26 1086.22773165 
C00038027 180314-55-0 Yunnaneic acid A C54H46O24 1078.2379024 
C00038028 180314-56-1 Yunnaneic acid B C54H46O25 1094.23281702 
C00038029 180314-58-3 Yunnaneic acid C || (+)-Yunnaneic acid C C27H22O12 538.11112617 
C00038030 180314-57-2 Yunnaneic acid D C27H24O12 540.12677623 
C00038031 199433-60-8 Yunnaneic acid E || (+)-Yunnaneic acid E C27H24O14 572.11660548 
C00038033 199433-62-0 Yunnaneic acid G || (-)-Yunnaneic acid G C36H30O16 718.15338491 
C00038592 181301-33-7 Betonyoside F || (-)-Betonyoside F C34H44O19 756.24767923 
C00038657 774244-17-6 Buddlejoside B || (-)-Buddlejoside B C22H26O12 482.1424263 
C00038846 930783-39-4 Cordyformamide C18H16N2O6 356.10083626 
C00039208 944746-95-6 Feruloylpodospermic acid A C35H36O15 696.20542048 
C00039209 944747-08-4 Feruloylpodospermic acid B C35H36O15 696.20542048 
C00039303 929695-89-6 Guttiferone K C38H50O6 602.36073933 
C00039457 246852-81-3 Isothalicrine || (+)-Isothalicrine C42H52N2O10 744.3621959 
C00039615 135010-56-9 Leonoside B C36H48O19 784.27897935 
C00039663 244203-72-3 Lup-20(29)en-28-al-3beta-yl caffeate || (+)-Lup-20(29)en-28-al-3beta-yl caffeate C39H54O5 602.39712483 
C00039745 153765-45-8 Melitric acid A C27H22O12 538.11112617 
C00039958 371196-59-7 Perseal F || (-)-Perseal F C18H18O5 314.11542369 
C00039987 935684-27-8 Phelligridin H C33H18O13 622.07474066 
C00039988 935684-28-9 Phelligridin I C33H20O13 624.09039073 
C00040120 147362-37-6 Purpurone C40H27NO11 697.15841071 
C00040131 259728-31-9 Quercetin 3,4'-di-O-alpha-L-rhamnopyranoside C27H30O15 594.15847029 
C00040132 83170-32-5 Quercetin 3-O-rhamninoside C33H40O20 756.21129372 
C00040370 131903-54-3 Stachysoside B C34H44O18 740.25276461 
C00040787 106894-33-1 2-(4-Hydroxyphenyl)-ethyl-(6-O-caffeoyl)-beta-D-glucopyranoside C23H26O10 462.15259705 
C00040992 221000-98-2 Heterocarpine C19H23NO5 345.15762285 
C00041131 102040-04-0 Taiwanin H C20H16O7 368.08960287 
C00041182 151898-49-6 Taxuside C16H24O8 344.14711774 
C00041209 220473-65-4 Theaflavate B C36H28O15 700.14282023 
C00041433 205114-65-4 Cimicifugic acid A || (+)-Cimicifugic acid A C21H20O11 448.10056148 
C00041434 205114-66-5 Cimicifugic acid B || (+)-Cimicifugic acid B C21H20O11 448.10056148 
C00041438 874351-11-8 Cimicifugic acid G C20H18O11 434.08491142 
C00041532 874303-35-2 Furowanin B || (+)-Furowanin B C25H26O7 438.16785319 
C00041599 880258-71-9 Inoscavin B || (-)-Inoscavin B C24H20O8 436.11581762 
C00041610 911315-93-0 Jaboticabin C16H14O8 334.06886743 
C00041668 880258-72-0 Methylinoscavin B || (-)-Methylinoscavin B C25H22O8 450.13146768 
C00041705 886988-62-1 Oblongifolin A || (+)-Oblongifolin A C38H50O6 602.36073933 
C00041706 886988-63-2 Oblongifolin B || (+)-Oblongifolin B C38H50O6 602.36073933 
C00041707 852627-71-5 Oblongifolin C || (+)-Oblongifolin C C43H58O6 670.42333958 
C00041708 886988-64-3 Oblongifolin D || (+)-Oblongifolin D C43H58O6 670.42333958 
C00041752 705941-40-8 Phelligridin F || (-)-Phelligridin F C26H22O9 478.1263823 
C00041799 294845-03-7 Pyranocyanin B C24H23O11 487.12403658 
C00041998 864452-90-4 (+)-Lariciresinol 9'-caffeinate C29H30O9 522.18898256 
C00042110 854049-02-8 3,5-Di-O-caffeoyl-4-O-coumaroylquinic acid || (-)-3,5-Di-O-caffeoyl-4-O-coumaroylquinic acid C34H30O14 662.16355567 
C00042121 121242-02-2 3-Carboxy-6,7-dihydroxy-1-(3',4'-dihydroxyphenyl)-naphthalene C17H12O6 312.06338812 
C00042241 356055-29-3 Aristophenone A C33H42O6 534.29813907 
C00042498 865205-41-0 Eriodictyol 7-O-sophoroside || (-)-Eriodictyol 7-O-sophoroside C27H32O16 612.16903498 
C00042524 850464-01-6 Gambogenone || (-)-Gambogenone C27H32O6 452.21988875 
C00042537 863311-83-5 Garcinielliptone FB C38H50O7 618.35565395 
C00042614 219786-99-9 Insuloside C40H46O16 782.27858542 
C00042638 194669-79-9 Isorabaichromone C29H32O12 572.18937649 
C00042642 52617-33-1 Isoxanthochymol || (+)-Isoxanthochymol C38H50O6 602.36073933 
C00042747 851474-44-7 Moricandin || (-)-Moricandin C33H40O21 772.20620834 
C00042808 850754-69-7 Ophioglonol 4'-O-beta-D-glucopyranoside C22H22O12 478.11112617 
C00042809 850754-68-6 Ophioglonol prenyl ether C21H20O7 384.12090299 
C00042907 62858-07-5 Rhamnetin 3-O-beta-D-galactopyranoside C22H22O12 478.11112617 
C00043053 856680-01-8 Tanariflavanone D || (-)-Tanariflavanone D C25H28O7 440.18350325 
C00043059 209005-26-5 Taxifolin 3-O-beta-D-arabinopyranoside C20H20O11 436.10056148 
C00043060 40672-47-7 Taxifolin 3-O-beta-D-xylopyranoside || (-)-Taxifolin 3-O-beta-D-xylopyranoside C20H20O11 436.10056148 
C00043076 217075-73-5 trans-3beta-Caffeoyloxy-2alpha-hydroxyurs-12-en-28-oic acid C39H54O7 634.38695408 
C00043089 217176-39-1 Trilobatin A-1''-methyl ester || (-)-Trilobatin A-1''-methyl ester C27H28O14 576.14790561 
C00043090 217176-40-4 Trilobatin B || (-)-Trilobatin B C26H28O13 548.15299098 
C00043091 217176-42-6 Trilobatin C || (-)-Trilobatin C C27H20O12 536.09547611 
C00043107 864512-90-3 Vittarilide A || (+)-Vittarilide A C15H16O9 340.07943211 
C00043108 864512-91-4 Vittarilide B || (+)-Vittarilide B C14H14O7 294.0739528 
C00043178 159934-13-1 3,5-Dicaffeoylquinic methyl ester || (-)-3,5-Dicaffeoylquinic methyl ester C26H26O12 530.1424263 
C00043199 719288-66-1 3'''-O-Methylcrenatoside || 3''-O-Methylcrenatoside || (-)-3''-O-Methylcrenatoside C30H36O15 636.20542048 
C00043286 697234-27-8 Artochamin C C20H16O6 352.09468824 
C00043492 113493-20-2 Erythrodiol 3-caffeate C39H56O5 604.4127749 
C00043646 896115-11-0 Lamellarin alpha C29H23NO11S 593.09918132 
C00043650 189083-79-2 Lamellarin U C29H25NO8 515.15801678 
C00043809 545434-89-7 Petrobactin C34H50N6O11 718.35375648 
C00043996 667465-76-1 Uvaol 3-caffeate || (+)-Uvaol 3-caffeate C39H56O5 604.4127749 
C00044045 86632-03-3 1,3,5-Tri-O-caffeoylquinic acid C34H30O15 678.15847029 
C00044677 406712-17-2 Cyclotheonamide E5 C41H62N10O10 854.46503827 
C00044753 37123-66-3 Ethyl chlorogenate C18H22O9 382.1263823 
C00045574 376361-93-2 5,7,3',4'-Tetrahydroxy-3-methoxy-6-geranylflavone C26H28O7 452.18350325 
C00045575 376361-90-9 5,7,3',4'-Tetrahydroxy-6-geranylflavonol C25H26O7 438.16785319 
C00045739 477343-58-1 Caudatoside E || (-)-Caudatoside E C26H32O14 568.17920573 
C00045740 477343-59-2 Caudatoside F || (-)-Caudatoside F C26H32O14 568.17920573 
C00046327 93376-04-6 Prestegane B C20H22O6 358.14163844 
C00046441 367265-97-2 Suillusin || (+)-Suillusin C19H14O8 370.06886743 
C00046473 244207-07-6 Trichosanthoside A || (-)-Trichosanthoside A C34H44O19 756.24767923 
C00046474 244207-09-8 Trichosanthoside B || (-)-Trichosanthoside B C39H52O23 888.28993797 
C00046973 291767-06-1 Watterose J || (-)-Watterose J C51H60O29 1136.32202596 
C00047200 1101859-19-1 Buxmicrophylline G || (+)-Buxmicrophylline G C36H54N2O5 594.40327285 
C00047527 1149669-51-1 Nervilifordin C || (-)-Nervilifordin C C28H32O17 640.1639496 
C00047529 1149669-53-3 Nervilifordin E || (-)-Nervilifordin E C34H42O22 802.21677303 
C00047697 1174174-30-1 Aceriphyllic acid G || (+)-Aceriphyllic acid G C39H54O6 618.39203946 
C00047768 1162664-57-4 Brutieridin C34H42O19 754.23202916 
C00047808 145757-61-5 Clinopodic acid A || (+)-Clinopodic acid A || 4-coumaroyl-3',4'-dihydroxyphenyllactic acid C18H16O7 344.08960287 
C00047810 1174920-56-9 Clinopodic acid C || (-)-Clinopodic acid C C27H22O12 538.11112617 
C00047815 1174909-60-4 Clinopodic acid I C36H30O16 718.15338491 
C00047894 1176306-06-1 Fucatoside A || (-)-Fucatoside A C28H34O15 610.18977042 
C00047895 1176306-07-2 Fucatoside B || (+)-Fucatoside B C33H42O19 742.23202916 
C00047896 1176306-08-3 Fucatoside C || (+)-Fucatoside C C33H42O19 742.23202916 
C00048045 934281-40-0 Parvifloroside A || (-)-Parvifloroside A C29H36O16 640.20033511 
C00048213 651304-96-0 Ugonin J || (+)-Ugonin J C25H26O6 422.17293856 
C00048214 651304-98-2 Ugonin K || (-)-Ugonin K C26H28O6 436.18858863 
C00048215 651305-00-9 Ugonin L || (+)-Ugonin L C26H28O6 436.18858863 
C00048298 1141378-41-7 7-epi-Garcinol C38H50O6 602.36073933 
C00048299 1141378-40-6 7-epi-Isogarcinol C38H50O6 602.36073933 
C00048353 1141871-31-9 Coccinone A || (+)-Coccinone A C38H50O6 602.36073933 
C00048354 1141870-93-0 Coccinone B || (-)-Coccinone B C38H50O7 618.35565395 
C00048355 1141870-94-1 Coccinone C || (-)-Coccinone C C38H52O7 620.37130401 
C00048356 1141870-95-2 Coccinone D || (-)-Coccinone D C38H52O8 636.36621864 
C00048357 1141870-96-3 Coccinone E || (-)-Coccinone E C38H52O8 636.36621864 
C00048358 1141870-97-4 Coccinone F || (-)-Coccinone F C38H50O6 602.36073933 
C00048359 1141870-99-6 Coccinone G || (-)-Coccinone G C38H50O6 602.36073933 
C00048360 1141871-01-3 Coccinone H || (+)-Coccinone H C38H50O6 602.36073933 
C00048520 72581-59-0 Quercetin 3-O-arabinopyranoside C20H18O11 434.08491142 
C00048611 1032399-11-3 Ariakemicin A C32H38N4O7 590.2740496 
C00048612 1032399-13-5 Ariakemicin B C32H38N4O7 590.2740496 
C00048717 883222-13-7 Glabraoside A C30H30O13 598.16864105 
C00048718 956706-99-3 Glabraoside B || (-)-Glabraoside B C30H30O13 598.16864105 
C00049037 208107-79-3 (-)-Epicatechin 5-O-beta-D-xylopyranoside || (-)-(-)-Epicatechin 5-O-beta-D-xylopyranoside C20H22O10 422.12129692 
C00049080 114637-83-1 3,4-Dicaffeoyl quinic acid || (-)-3,4-Dicaffeoyl quinic acid C26H26O12 530.1424263 
C00049084 226406-72-0 3beta,23,28-Trihydroxy-12-oleanene 23-caffeate C39H56O6 620.40768952 
C00049085 226406-74-2 3beta,23,28-Trihydroxy-12-oleanene 3beta-caffeate || (+)-3beta,23,28-Trihydroxy-12-oleanene 3beta-caffeate C39H56O6 620.40768952 
C00049135 155899-91-5 cis-Leucosceptoside A C30H38O15 638.22107055 
C00049136 155899-92-6 cis-Martynoside || (-)-cis-Martynoside C31H40O15 652.23672061 
C00049383 221169-76-2 Lamellarin G 8-sulfate C28H23NO11S 581.09918132 
C00049384 221169-75-1 Lamellarin L 20-sulfate C28H23NO11S 581.09918132 
C00049385 221169-77-3 Lamellarin Z C27H21NO8 487.12671666 
C00049586 111316-35-9 Angoroside A C34H44O19 756.24767923 
C00049587 97747-56-3 cis-Acteoside C29H36O15 624.20542048 
C00049599 240820-55-7 Scrophuloside B1 || (-)-Scrophuloside B1 C35H46O19 770.26332929 
C00049600 240820-59-1 Scrophuloside B2 || (-)-Scrophuloside B2 C35H46O19 770.26332929 
C00049877 205444-62-8 Hamiltone B C18H18O7 346.10525293 
C00049945 213547-09-2 3'-Demethoxy-6'-desmethyl-5'-methoxycandidusin B C19H14O7 354.0739528 
