Brassica oleracea, 106300639, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica oleracea, 106323437, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Brassica oleracea, 106313234, beta-glucosidase 45-like  [EC], ['EC:3.2.1.21'], KO:K05350
Brassica oleracea, 106299021, cytochrome P450 98A8-like  [EC], ['EC:1.14.13.-'], KO:K15506
Brassica oleracea, 106334207, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Brassica oleracea, 106343388, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Brassica oleracea, 106326584, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Brassica oleracea, 106324435, UDP-glycosyltransferase 73B3-like  [EC], ['EC:2.4.1.128'], KO:K23260
Brassica oleracea, 106343871, UDP-glycosyltransferase 73B3-like isoform X1  [EC], ['EC:2.4.1.128'], KO:K23260
Brassica oleracea, 106333855, UDP-glucosyl transferase 73B2-like  [EC], ['EC:2.4.1.128'], KO:K23260
Brassica oleracea, 106310638, UDP-glycosyltransferase 73B1  [EC], ['EC:2.4.1.128'], KO:K23260
Brassica oleracea, 106326322, UDP-glycosyltransferase 73B3-like  [EC], ['EC:2.4.1.128'], KO:K23260
Brassica oleracea, 106333091, UDP-glycosyltransferase 73B5-like  [EC], ['EC:2.4.1.128'], KO:K23260
Brassica oleracea, 106306797, UDP-glycosyltransferase 73B5  [EC], ['EC:2.4.1.128'], KO:K23260
Brassica oleracea, 106307966, UDP-glycosyltransferase 73B5-like  [EC], ['EC:2.4.1.128'], KO:K23260
