Raphanus sativus, 108854852, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Raphanus sativus, 108832220, beta-glucosidase 40  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108830085, LOW QUALITY PROTEIN: beta-glucosidase 3-like  [EC], ['EC:3.2.1.21'], KO:K01188
Raphanus sativus, 108845572, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Raphanus sativus, 108805735, uncharacterized protein LOC108805735  [EC], ['EC:3.2.1.21'], KO:K05349
Raphanus sativus, 108805736, uncharacterized protein LOC108805736  [EC], ['EC:3.2.1.21'], KO:K05349
Raphanus sativus, 108848026, uncharacterized protein LOC108848026 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Raphanus sativus, 108816951, uncharacterized protein LOC108816951  [EC], ['EC:3.2.1.21'], KO:K05349
Raphanus sativus, 108843225, uncharacterized protein LOC108843225  [EC], ['EC:3.2.1.21'], KO:K05349
Raphanus sativus, 108846740, lysosomal beta glucosidase-like  [EC], ['EC:3.2.1.21'], KO:K05349
Raphanus sativus, 108838116, uncharacterized protein LOC108838116  [EC], ['EC:3.2.1.21'], KO:K05349
Raphanus sativus, 108817684, uncharacterized protein LOC108817684 isoform X1  [EC], ['EC:3.2.1.21'], KO:K05349
Raphanus sativus, 108817685, uncharacterized protein LOC108817685  [EC], ['EC:3.2.1.21'], KO:K05349
Raphanus sativus, 108814972, uncharacterized protein LOC108814972  [EC], ['EC:3.2.1.21'], KO:K05349
Raphanus sativus, 108811789, uncharacterized protein LOC108811789  [EC], ['EC:3.2.1.21'], KO:K05349
Raphanus sativus, 108835220, uncharacterized protein LOC108835220  [EC], ['EC:3.2.1.21'], KO:K05349
Raphanus sativus, 108840302, uncharacterized protein LOC108840302  [EC], ['EC:3.2.1.21'], KO:K05349
Raphanus sativus, 108836924, uncharacterized protein LOC108836924  [EC], ['EC:3.2.1.21'], KO:K05349
Raphanus sativus, 108810030, beta-glucosidase 45-like  [EC], ['EC:3.2.1.21'], KO:K05350
Raphanus sativus, 108812040, beta-glucosidase 44  [EC], ['EC:3.2.1.21'], KO:K05350
Raphanus sativus, 108806139, beta-glucosidase 43  [EC], ['EC:3.2.1.21'], KO:K05350
Raphanus sativus, 108807694, beta-glucosidase 44-like  [EC], ['EC:3.2.1.21'], KO:K05350
Raphanus sativus, 108849656, beta-glucosidase 47-like isoform X1  [EC], ['EC:3.2.1.21'], KO:K05350
Raphanus sativus, 108851678, beta-glucosidase 47-like  [EC], ['EC:3.2.1.21'], KO:K05350
Raphanus sativus, 108806846, beta-glucosidase 46-like  [EC], ['EC:3.2.1.21'], KO:K05350
Raphanus sativus, 108816111, cytochrome P450 98A8-like  [EC], ['EC:1.14.13.-'], KO:K15506
Raphanus sativus, 108860815, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Raphanus sativus, 108805589, feruloyl CoA ortho-hydroxylase 1  [EC], ['EC:1.14.11.61'], KO:K06892
Raphanus sativus, 108807602, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Raphanus sativus, 108856971, feruloyl CoA ortho-hydroxylase 1-like  [EC], ['EC:1.14.11.61'], KO:K06892
Raphanus sativus, 108813716, UDP-glycosyltransferase 73B5  [EC], ['EC:2.4.1.128'], KO:K23260
Raphanus sativus, 108826290, UDP-glycosyltransferase 73B5-like  [EC], ['EC:2.4.1.128'], KO:K23260
Raphanus sativus, 108841775, UDP-glycosyltransferase 73B3-like  [EC], ['EC:2.4.1.128'], KO:K23260
Raphanus sativus, 108840673, UDP-glycosyltransferase 73B3-like  [EC], ['EC:2.4.1.128'], KO:K23260
Raphanus sativus, 108859845, UDP-glycosyltransferase 73B5-like isoform X1  [EC], ['EC:2.4.1.128'], KO:K23260
Raphanus sativus, 108811525, UDP-glucosyl transferase 73B2-like  [EC], ['EC:2.4.1.128'], KO:K23260
Raphanus sativus, 108811527, UDP-glycosyltransferase 73B3-like  [EC], ['EC:2.4.1.128'], KO:K23260
Raphanus sativus, 108843256, UDP-glycosyltransferase 73B1-like  [EC], ['EC:2.4.1.128'], KO:K23260
Raphanus sativus, 108832194, UDP-glucosyl transferase 73B2-like  [EC], ['EC:2.4.1.128'], KO:K23260
Raphanus sativus, 108832154, UDP-glycosyltransferase 73B5-like  [EC], ['EC:2.4.1.128'], KO:K23260
