Fraxinus americana
Rollinia dolabripetala
Xylopia aromatica 
Bupleurum chinense
Bupleurum rotundifolia
Bupleurum rotundifolium L. 
Carum carvi 
Chaerophyllum hirsutum
Apocynum lancifolium
Apocynum venetum 
Artemisia spp. 
Calendula officinalis 
Centaurea gigantea
Centaurea solstitialis
Conyza filaginoides
Desmanthodium spp.
Gutierrezia wrightii
Haplopappus foliosus
Silphium perfoliatum L.
Solidago altissima
Zinnia elegans
Alkanna orientalis
Pitcairnia rubiflora
Campanula glomerata L.
Casuarina equisetifolia 
Tripterygium regelii
Ascarina lucida
Commelina communis L 
Convallaria keiskei 
Camptotheca acuminata
Costus spicatus 
Kalanchoe blossfeldiana
Rhodiola crenulata
Sedum acre 
Sinocrassula indica 
Brassica oleracea var. botrytis italica 
Brassica oleracea var. costata 
Descurainia Sophia
Descurainia sophia 
Cucumis sativus 
Marah oreganus
Pteridium aquilinum 
Diospyros kaki 
Diospyros rhombifolia
Equisetum arvense 
Equisetum sylvaticum
Pyrola decorata 
Pyrola elliptica
Pyrola spp.
Eucommia ulmoides Oliv. 
Euphorbia chamaesyce
Euphorbia magalanta
Euphorbia virgata
Pedilanthus tithymaloides 
Sapium haematospermum 
Acacia caven 
Baptisia spp.
Bauhinia vahlii L. 
Gleditsia japonica Miquel. 
Gleditsia sinensis Lam. 
Glycyrrhiza glabra L. 
Hedysarum sericeum
Onobrychis amoena
Onobrychis chlorassanica
Onobrychis echidna
Onobrychis ferganica
Onobrychis grandis
Onobrychis seravschanica
Peltophorum africanum 
Tachigalia paniculata
Gentiana pyrenaica L.
Dicranopteris linearis
Anigozanthos pulcherrimus
Anigozanthos rufus
Hypericum ascyron 
Hypericum perforatum 
Hypericum perforatum L. 
Hypericum sampsonii
Hypericum thasium
Carya pecan
Isodon leucophyllus
Marrubium velutinum
Phlomis spinidens
Salvia blepharophylla
Salvia cavaleriei
Strychnos spinosa 
Abelmoschus manihot 
Gossypium herbaceum 
Hibiscus mutabilis 
Ficus ruficaulis
Morus insignis
Musa acuminata 
Ardisia colorata
Lysimachia christinae 
Lysimachia nummularia 
Eucalyptus maideni
Psidium guaijava
Ochna obtusata
Forsythia viridissima
Phoenix hanceana var. formosana
Japonolirion osense
Phyllanthus niruri 
Larix decidua 
Polygonum persicaria 
Polygonum polystachyum
Pyrrosia lingua 
Coleogyne ramosissima Torr.
Crataegus pinnatifida var major 
Eriobotrya japonica 
Rosa luciae
Rosa rugosa 
Sorbus commixta 
Spiraea formosana 
Melicope micrococca
Salix viminalis 
Saururus chinensis 
Leptarrhena pyrolifolia
Hebe parviflora
Physalis alkekengi var. franchetii 
Solanum tuberosum L. 
Takakia spp.
Camellia sinensis 
Thelypteris nipponica
Vitis vinifera var.
Curcuma mangga 
Etlingera elatior 
Tribulus alatus Del. 
Chamaenerion angustifolium
Monochaetun multiflorum
Peltiphyllum peltatum
Cornus alba 
Brassica napa
Thuja plicata
Thuja spp.
Dioscorea alata 
Vaccinium alaskaense
Vaccinium angustifolium 
Vaccinium myrtillus 
Vaccinium uliginosum 
Sesbania grandiflora L. 
Syzygium cumini 
Abies grandis
Polygonum  senticosum
Polygonum perfoliatum
Solanum tuberosum subsp. Andigena 
Vitis labrusca 
Dipsacus asperoides 
Elsholtzia nipponica
Perovskia angustifolia
Vitex trifolia 
Gossypium hirsutum 
Gossypium mexicanum
Melia azadirach
Morus spp.
Paeonia albiflora 
Coffea canephora 
Paederia chinensis
Populus tremuloides
Ulva lactuca 
Anethum graveolens 
Oenanthe javanica 
Ambrosia ambrosioides
Arnica spp.
Ericameria linearifolia
Eriophyllum staechadifolium
Grindelia nana
Haplopappus bailahuen
Lychnophora diamantina
Ozothamnus spp.
Pulicaria dysenterica 
Pulicaria gnaphaloides 
Capparis tweediana 
Cistus incanus
Aeonium decorum
Sedum sarmentosum 
Gynostemma yixingense
Escallonia pulverulenta
Acacia latifolia
Acacia praecox
Astragalus dasyanthus
Astragalus kabadianus
Astragalus melilotoides
Astragalus propinquus
Caesalpinia gilliesii 
Caragana frutex
Ceratonia siliqua 
Dalbergia hupeana
Dorycnium pentaphyllum
Genista aetnensis
Lotus maritimus
Onobrychis biebersteinii
Oxytropis campestris
Oxytropis oxyphylla
Prosopis argentina
Prosopis hassleri
Prosopis humilis
Prosopis reptans
Prosopis ruizlealii
Prosopis sericantha
Prosopis torquata
Styphnolobium japonicum
Salvia farinacea
Kitaibela vitifolia
Eucalyptus spp. 
Nothofagus obliqua 
Mirabilis viscosa
Argemone mexicana 
Passiflora palmeri
Cedrus atlantica Manetii cv.glauca
Polygonum punctatum 
Rumex acetosa 
Rhamnus pallasii
Ruscus hypoglossum L. 
Viscum album 
Viscum cruciatum 
Tamarix chinensis
Tamarix hispida
Taxus brevifolia 
Taxus cuspidata 
Typha angustifolia 
Typha latifolia 
Vellozia conicostigma
Zygophyllum album 
Binapsis arvense
Siegesbeckia jorullensis
Artemisia caerulescens
Artemisia iwayomogi
Artemisia molinieri
Brickellia laciniata
Eupatorium altissimum
Ozothamnus scutellifolius
Tithonia calva
Nonea rosea
Merremia tridentata 
Aeonium glutinosum
Cyperus alopecuroides
Acacia farnesiana 
Vicia hybrida
Vicia melanops
Vicia michauxii
Vicia noeana
Vicia pannonica 
Vicia sicula
Vicia truncatu
Vicia villosa 
Agastache aurantiaca
Mentha spicata 
Salvia candidissima
Salvia nutans
Salvia tomentosa
Stemodia viscosa 
Diosma spp.
Lippia citriodora 
Pentemon gentianoides HBK
Artemisia glutinosa
Baccharis pilularis
Cassinia vauvilliersii
Centaurea collina L.
Chromolaena meridensis
Chromolaena odorata 
Flourensia thurifera
Madia elegans
Ozothamnus expansifolius
Aeonium spp.
Erysimum carniolicum
Dillenia spp.
Tetracera asiatica 
Tetracera spp.
Acacia ixiophylla
Meehania urticifolia
Moringa oleifera 
Moringa pterygosperma 
Syzygium aromaticum 
Averrhoa carambola 
Rhamnus cathartica 
Populus nigra 
Smilax riparia
Vellozia streptophylla
Cistus salviifolius
Sedum sediforme 
Mallotus japonicus 
Stryphnodendron adstringens 
Hamamelis virginiana 
Scurrula atropurpurea
Myrica esculenta 
Myrica rubra 
Syzygium samarangense
Averrhoa carambola L. 
Eskemukerjea megacarpum HARA
Sideroxylon inerme L. 
Thea sinensis 
Rhus wallichi
Astrantia major 
Nerium oleander 
Thevetia peruviana 
Panax ginseng C.A.Meyer. 
Carthamus tinctorius 
Inula britannica var.chinensis 
Impatiens capensis 
Diphylleia grayi
Diphylleia sinensis
Casuarina cunninghamiana Miq.
Casuarina equisetifolia L. 
Casuarina junghaniana
Casuarina rigida
Hippocratea mucronata
Microtropis fokienensis
Clusia nemorosa 
Garcinia bancana 
Garcinia schomburgkiana
Cuscuta chinensis 
Cuscuta japonica 
Cuscuta lupuliformis
Brassica carinata B line 
Brassica carinata Y line 
Coccinia grandis 
Gynostemma cardiospermum
Dioscorea bulbifera L.var sativa 
Rhododendron dauricum 
Rhododendron huianum
Rhododendron micranthum
Elateriospermum tapos 
Euphorbia geniculata
Euphorbia pekinensis 
Euphorbia prostrata 
Afzelia bella
Astragalus membranaceus 
Astragalus mongholicus
Cassia acutifolia 
Cassia angustifolia 
Cassia fistula 
Cassia tora 
Cercis chinensis
Hedysarum caucasicum
Onobrychis vassiltschenkoi
Vicia amoena
Vismia laurentii 
Ajuga taiwanensis
Salvia dorrii
Salvia folium
Laurus nobilis 
Pterospermum lanceaefolium 
Theobroma grandiflorum
Toona sinensis 
Lysimachia capillipes
Eugenia jambolana 
Nymphaea stellata 
Ophioglossum petiolatum
Meconopsis betonicifolia
Phyllanthus urinaria 
Cheilanthes grisea
Notholaena standleyi
Consolida oliveriana
Phyllogeiton zeyheri Sond.
Rhamnus davurica
Potentilla chinensis 
Prunus mahaleb 
Adina racemosa
Morinda citrifolia 
Sinoadina Racemosa
Phellodendron amurense var.wilsonii 
Thesium chinense
Saxifraga azizoon
Solanum elaeagnifolium 
Phegopteris connectilis
Ampelopsis brevipedunculata 
Kaempferia galanga 
Apocynaceae
Befaria glutinosa
Brassicaceae
Dilleniaceae
Leguminosae
Ranunculaceae
Sperganium stoloniferum
Mangifera indica
Annona muricata
Artabotrys uncinatus
Mitrella kentii
Apocynum venetum
Asparagus officinalis
Betula papyrifera
Carpinus cordata
Humulus lupulus
Casuarina equisetifolia L.
Gymnosporia trigyna
Salacia prinoides
Tripterygium hypoglaucum
Combretum quadrangulare
Momordica charantia
Elaeagnus angustifolia
Hippophae rhamnoides
Ephedra sinica
Rhododendron Cunningham
Rhododendron brachycarpum ssp.brachycarpum
Rhododendron calophytum
Rhododendron catawbiense
Rhododendron degronianum ssp. Heptamerum var. hondoense
Rhododendron dichroanthum ssp.scyphocalyx
Rhododendron fortunei
Rhododendron galactinum
Rhododendron insigne
Rhododendron kaempferi
Rhododendron mucronatum
Rhododendron oreotrephes
Rhododendron ponticum
Rhododendron praevernum
Rhododendron smirnowii
Rhododendron ungernii
Erythroxylum cambodianum
Eucommia ulmoides Oliver
Croton urucurana
Acacia catechu
Acacia erioloba
Acacia holosericea
Acacia mearnsii
Acacia melanoxylon
Acacia nilotica
Acacia omalophylla
Acacia pendula
Acacia planifrons
Alhagi kirghisorum
Alhagi maurorum
Arachis hypogaea
Cassia fistula
Cassia roxburghii
Colophospermum mopane
Gleditsia triacanthos
Parkia biglobosa
Prosopis nigra
Schotia brachypetala
Sophora flavescens
Sophora japonica
Vicia faba
Vigna angularis
Wisteria sinensis
Quercus robur
Pelargonium sidoides
Ginkgo biloba
Ribes fasciculatum var.chinense
Liquidambar styraciflua
Cinnamomum sieboldii
Laurus nobilis
Machilus thunbergii
Punica granatum
Punica granatum L.
Ceiba pentandra
Cola acuminata
Theobroma cacao L.
Melia azedarach var.japonica
Toona sinensis
Xylocarpus granatum
Artocarpus dadah
Musa acuminata
Embelia ribes Burm.
Eucalyptus camaldulensis
Averrhoa carambola
Areca catechu
Chamaerops humilis
Desmoncus polyacanthos
Trachycarpus fortunei
Phyllanthus emblica
Larix decidua Miller.
Larix sibirica
Picea abies
Pinus sibirica L.
Pinus sylvestris L.
Polygonum cuspidatum
Polygonum hydropiper
Rheum emodi
Rheum palmatum
Rheum tanguticum
Rumex patientia
Ziziphus jujuba
Agrimonia pilosa var.japonica
Crataegus monogyna calli
Prunus avium
Prunus persica
Prunus tomentosa
Rosa amblyotis
Rosa cymosa
Rosa maximowicziana
Uncaria gambir
Uncaria lanosa
Euodia meliaefolia
Salix caprea
Acer nikoense
Manilkara zapota cv.Tikal
Camellia sinensis
Typha capensis (Rohrb.) N. E. Br
Ampelopsis japonica
Vitis vinifera
Etlingera elatior
Actinida arguta
Fugopyrum esculentum calli
Okoubaka aubrevillei
Rhei rhizoma
Scurrura atropurpurea
Chrysanthemum indicum 
Chrysanthemum morifolium 
Inula japonica
Leontodon autumnalis
Vernonia pectoralis
Codonopsis clematidea 
Codonopsis tangshen OLIV. 
Garcinia xipshuanbannaensis
Abrus precatorius 
Acacia furcatispina
Acacia leucophloea 
Astragalus coluteocarpus
Astragalus eremophilus
Baptisia sphaerocarpa
Chamaecrista absus
Chamaecrista mimosoides 
Crotalaria pallida 
Cytisophyllum sessilifolium
Cytisus hirsutus
Erythrophleum suaveolens 
Galega officinalis 
Genista carpetana
Genista corsica
Genista ferox
Genista januensis
Genista nissana
Genista pilosa
Genista teretifolia
Gleditsia australis
Gonocytisus angulatus
Lathyrus pratensis
Lens culinaris 
Lupinus polyphyllus
Medicago laciniata
Medicago marina
Medicago minima
Parkinsonia aculeata 
Podocytisus caramanicus
Prosopis affinis
Prosopis alba 
Prosopis chilensis 
Prosopis flexuosa 
Prosopis glandulosa 
Prosopis juliflora 
Prosopis laevigata 
Prosopis nigra 
Prosopis ruscifolia 
Prosopis strombulifera 
Prosopis velutina 
Prosopis vinalillo 
Rhynchosia suaveolens
Senna didymobotrya 
Senna siamea 
Thermopsis dolichocarpa
Vicia acutifolia
Vicia americana
Vicia articulata
Vicia balansae
Vicia benghalensis
Vicia ciceroidea
Vicia cracca 
Vicia dumetorum
Vicia epetiolaris
Vicia ervilia 
Vicia floridana
Vicia glauca
Vicia hirsuta 
Vicia minutiflora
Vicia mollis
Vicia monantha 
Vicia multijuga
Vicia ochroleuca
Vicia onobrychioides
Vicia pinetorum
Vicia splendens
Vicia sylvatica
Vicia tenuifolia
Vigna trilobata
Gentiana arisanensis
Gentianopsis paludosa
Juncus effusus 
Luzula multiflora
Ajuga decumbens 
Ocimum basilicum L. 
Prunella vulgaris 
Schizonepeta tenuifolia 
Machilus philippinensis
Sonneratia caseolaris 
Myoporum bontioides
Syringa afghanica
Reseda luteola 
Verbascum sinaiticum 
Capsicum annum L.
Daphne genkwa 
Valeriana amurensis
Lippia sidoides
Galla chinensis
Penicillium brevicompactum
Bufo bufo gargarizans
Stephania cepharantha 
Papaver commutatum
Papaver setigerum
Spirulina platensis
Lannea coromandelica 
Crotalaria assamica
Artocarpus integrifolia 
Chlorophora tinctoria
Morus serrata 
Morus tinctoria
Treculia africana 
Psidium guajava 
Haplopappus canescens
Thuja orientalis 
Euphorbia palustris
Euphorbia stepposa
Acacia cyanophylla
Astragalus complanatus 
Caragana jubata
Hypocalyptus sophoroides
Intsia bijuga 
Intsia palembanica
Lathyrus aphaca 
Medicago blancheana
Medicago cancellata
Medicago cretacea
Medicago doliata
Medicago falcata
Medicago glomerata
Medicago hybrida
Medicago intertexta
Medicago lupulina 
Medicago monantha
Medicago murex
Medicago polyceratia
Medicago radiata
Medicago rotata
Medicago scutellata 
Melilotus italica
Melilotus sulcatus
Melilotus wolgicus
Trigonella balansae
Trigonella calliceras
Trigonella cretica
Trigonella geminiflora
Vicia bithynica
Vicia johannis
Hypericum hirsutum
Salvia hispanica
Soymida febrifuga 
Myrica cerifera 
Myrica nagi 
Kunzea ericoides
Pimenta dioica 
Plinia pinnata
Nothofagus antarctica
Nymphaea lotus 
Bridelia ferruginea 
Pseudolarix amabilis
Hovenia dulcis 
Rosa damascene
Xanthoceras sorbifolia 
Diploknema butyracea
Ampelopsis grossedentata
Morella rubra
Oxycoccus quadripetalis
Anthemis spp.
Chrysanthemum spp.
Eupatorium gracile
Hymenoxys scaposa
Leucanthemum atratum
Rudbeckia hirta
Senecio oryzetorum
Tagetes erecta 
Tagetes patula 
Eriocaulon spp.
Paepalanthus polyanthus
Paepalanthus ramosus
Paepalanthus robustus
Leucaena glauca 
Anacardium occidentale 
Xylopia poilanei
Artemisia campestris ssp.maritima 
Baccharis spp.
Centaurea spp.
Chrysothamnus humilis
Dahlia spp.
Helichrysum arenarium 
Polymnia fruticosa
Millettia brandisiana
Rhynchosia beddomei
Swartzia polyphylla
Gentiana lutea L. var. aurantiaca 
Phlomis caucasica
Punica granatum L. 
Maclura tinctoria 
Dendrobium densiflorum Lindl.ex.Wall.
Piper crassinervium Kunth
Polygonum minus
Prunus davidiana 
Prunus mume 
Prunus yedoensis
Citrus grandis var.tomentosa 
Citrus unshiu 
Viscum angulatum
Camellia sinensis var.assamica 
Moghania philippinensis
Nympaea spp.
Streptomyces niveus
Streptomyces spheroides
Ray
Scirpus fluviatilis
Scirpus maritimus 
Caragana tibetica KOM.
Cassia dentata
Cassia garrettiana
Cassia marginata
Centrolobium robustum
Laburnum alpinum
Pericopsis angolensis 
Pericopsis elata 
Schotia brachypetala 
Vouacapoua americana 
Vouacapoua macropetala
Picea engelmannii
Picea excelsa 
Picea glauca 
Picea glehnii
Picea mariana 
Picea ojanensis
Picea rubens
Picea sitchensis 
Saccharum officinarum 
Rheum rhaponticum 
Rheum spp.
Cissus quadrangularis 
Senecio nemorensis
Geranium thunbergii
Gunnera perpensa 
Phyllanthus reticulatus 
Peperomia duclouxii
Statice gmelinii
Rheum maximoviczii
Rheum maximowiczii
Geum urbanum 
Rosa spp.
Rubus rigididus
Rubus rigidus 
Albizia procera 
Andira parviflora
Bolusanthus specious
Cicer anatolicum
Cicer bijugum
Cicer canariensis
Cicer chorassanicum
Cicer cuneatum
Cicer echinospermum
Cicer judaicum
Cicer judicum
Cicer macracanthum
Cicer microphyllum
Cicer mogolatvicum
Cicer montbretii
Cicer nuristanicum
Cicer oxyodon
Cicer pinnatifidum
Cicer pungens
Cicer rechingeri
Cicer reticulatum
Cicer songaricum
Cicer yamashitae
Dalbergia lanceolaria 
Dalbergia nitidula 
Dalbergia spruceana
Dalbergia volubilis 
Haplormosia monophylla
Hedysarum multijugum
Pericopsis mooniana
Sophora mollis 
Trifolium alpestre
Trifolium apertum
Trifolium canescens
Trifolium caucasicum
Trifolium incarnatum
Trifolium medium
Trifolium repensl
Trifolium trichocephalum
Virola caducifolia
Virola cadudifolia
Virola surinamensis 
Podocarpus amarus
Mucor hiemalis
Xylopia emarginata
Xylopia langsdorffiana
Conyza aegyptica
Solidago canadensis
Garcinia cowa 
Croton tonkinensis GAGNEP
Euphorbia tinctoria 
Albizzia lebbeck
Hypericum perforatum var.angustifolium 
Psorospermum androsaemifolium BAKER
Karwinskia spp.
Cruciata taurica
Kadsura heteroclita 
Smilax bracteata
Xyris pteygoblephara
Euphorbia
Helichrysum
Passifloraceae
Rhamnaceae
Solanaceae
Umbelliferae
Umbelliferaen,
Pinus rigida
Amaranthus spinosus 
Galanthus caucasicus 
Cussonia bojeri SEEM
Cussonia racemosa
Cussonia vantsilana Baker
Aristolochia kaempferi
Achillea alexandri
Artemisia scoparia 
Cirsium setosum
Eupatorium microphyllum
Pulicaria salviifolia
Saussurea gnaphaloides
Saussurea graminea
Saussurea involucrata
Saussurea nigrescens
Saussurea parviflora
Saussurea pulchella 
Senecio viravira
Senecio yegua
Solidago virgaurea 
Tussilago farfara 
Opuntia dillenii 
Capparis spinosa L. 
Gynostemma pentaphyllum 
Hippophae neurocarpa
Hippophae rhamnoides subsp.gyantsensis 
Hippophae rhamnoides subsp.sinensis 
Hippophae rhamnoides subsp.turkestanica 
Hippophae rhamnoides subsp.yunnanensis 
Hippophae thibetata
Ephedra campylopoda 
Euphorbia hirta 
Macaranga tanarius
Caesalpinia pulcherrima 
Cassia hirsuta 
Onobrychis bobrovi
Hypericum curvisepalum
Hypericum elodeoides 
Hypericum faberi
Hypericum patulum
Hypericum wightianum
Leonurus heterophyllus 
Marsypianthes chamaedrys 
Stachys palustris L. 
Cassytha filiformis 
Lygodium flexuosum 
Kleinhovia hospita 
Menyanthes trifoliata L. 
Ficus pumila 
Ficus ruficaulis Merr.var.antaoensis
Eucalyptus camaldulensis 
Forsythia suspensa 
Fraxinus oxycarba
Syringa vulgaris L. 
Fuchsia fulgens
Philydrum lanuginosum
Fagopyrum cymosum 
Fagopyrum esculentum 
Fagopyrum homotropicum
Fagopyrum tataricum 
Polygonum spp.
Rumex japonicus 
Thalictrum foetidum 
Berchemia polyphylla var.leioclada
Colubrina asiatica 
Bruguiera sexangula var.rhynchopetala
Crataegus cuneata 
Crataegus hupehensis
Crataegus kansuensis
Crataegus maximowiczii 
Crataegus monogyna L. 
Crataegus pinnatifida var.major 
Crataegus pinnatifida var.psilosa 
Crataegus sanguinea 
Crataegus scabrifolia
Parageum montanum
Oldenlandia corymbosa
Sinoadina racemosa
Spermacoce laevis Roxb.
Uncaria elliptica
Uncaria hirsuta 
Salix songorica
Hyoscyamus niger 
Oryctes nevadensis
Centranthus longiflorus ssp. longiflorus
First Ruta graveolens
Hex aquifolium
Macropidia fuliginosa
Opunitia dillenii HAW.
Artemisia campestris 
Betula spp.
Microtropis japonica
Juglans spp. 
Piper lhotzkyanum
Xanthorrhoea hastilis 
Boesenbergia rotunda (L.) Mansf.Kulturpfl. 
Rhizopus stolonifer
Acorus calamus 
Yucca periculosa F.Baker
Hopea utilis
Vatica rassak
Amorpha nana
Bauhinia racemosa 
Caesalpinia decapetala 
Pterolobium hexapetallum
Trifolium dubium
Gnetum gnemon 
Gnetum latifolium Blume
Gnetum parvifolium 
Gnetum pendulum C.Y.
Gnetum venosum
Scilla nervosa
Veratrum album 
Veratrum grandiflorum
Veratrum nigrum var.ussuriense 
Artocarpus chaplasha
Artocarpus dadah 
Artocarpus lakoocha 
Cudrania javanensis 
Corymbia haematoxylon
Corymbia papuana
Eucalyptus abergiana
Eucalyptus astringens
Eucalyptus caesia
Eucalyptus calophylla
Eucalyptus campospe
Eucalyptus citriodora 
Eucalyptus crebra
Eucalyptus decorticans
Eucalyptus dichromophloia 
Eucalyptus eremophila
Eucalyptus erythrophloia
Eucalyptus ficifolia
Eucalyptus gardneri
Eucalyptus griffithsii
Eucalyptus grossa
Eucalyptus gummifera 
Eucalyptus intermedia
Eucalyptus maculata
Eucalyptus melonophlo
Eucalyptus nowraensis
Eucalyptus nutans
Eucalyptus platypus
Eucalyptus polycarpa 
Eucalyptus pruinosa
Eucalyptus sargenti
Eucalyptus sideroxylon
Eucalyptus stricklandii
Eucalyptus trachyphloia
Eucalyptus wandoo
Eucalyptus woodwardii
Nothofagus spp.
Phoenix dactylifera 
Picea bicolor
Picea koyamae
Picea torano
Festuca argentina
Festuca arundinacea 
Festuca versuta
Hordeum bogdanii
Hordeum brachyantherum
Lolium spp.
Poa alsodes
Stipa robusta
Polygonum multiflorum 
Rheum wittrocki
Rubus idaeus 
Rubus occidentalis 
Smilax aspera subsp.mauritanica (POIR.) ARCANG. 
Smilax menispermoidea
Cissus antarctica
Parthenocissus quinquefolia
Parthenocissus tricuspidata
Rhoicissus rhomboidea
Vitis cognetiae
Vitis riparia 
Vitis rupestris
Botrytis cinerea
Gentum parvifolium
Plasmopara viticola
Pleuropterus cilinervis
Toxylon pomifera
Uncinula necator
Bacillus pumilus BN
Rhus semialata 
Conioselinum vaginatum
Ligusticum chuanxiung
Aristolochia pubescens
Asparagus cochinchinensis 
Asparagus racemosus 
Asparagus spp. 
Gynura elliptica
Gynura segetum
Ligularia dentata Hara
Ligularia stenocephala Matsum.et Koidz.
Beta spp.
Tupistra chinensis
Liquidambar orientalis 
Curculigo capitulata
Engelhardia roxburghiana
Beilschmiedia erythrophloia
Cinnamomum subavenium MIQ.
Litsea cubeba 
Phoebe formosana
Gymnadenia spp.
Vanilla planifolia 
Phyllanthus oligospermus
Spiraea spp.
Ruta spp.
Styrax benzoin 
Taxus mairei 
Ulva pertusa
Brassica napus 
Tulipa sp.
Populus angustifolia
Populus sieboldii
Petunia x hybrida
