ACANTHACEAE#DICLIPTERA ROXBURGHIANA#KAEMPFEROL
BRASSICACEAE#ARMORACIA RUSTICANA#KAEMPFEROL#KAEMPFEROL,3-O-(BETA-D-GALACTOPYRANOSYL):#KAEMPFEROL-3-O-BETA-D-XYLOFURANOSIDE#KAEMPFEROL-3-O-BETA-D-XYLOFURANOSYL(1-2)-GALACTOPYRANOSIDE
BRASSICACEAE#BARBAREA VULGARIS#KAEMPFEROL-3-O-BETA-D-GLUCOFURANOSIDE
BRASSICACEAE#BERTEROA INCANA#KAEMPFEROL
BRASSICACEAE#BRASSICA CARINATA#KAEMPFEROL-3-7-DIGLUCOSIDE#KAEMPFEROL-3-FERULOYL-SOPHOROSIDE#KAEMPFEROL-3-O-BETA-D-SOPHOROSIDE#KAEMPFEROL-3-SINAPOYL-SOPHOROSIDE#KAEMPFEROL-3-SOPHOROSIDE-7-GLUCOSIDE
BRASSICACEAE#BRASSICA CHINENSIS#KAEMPFEROL
BRASSICACEAE#BRASSICA INTEGRIFOLIA#KAEMPFEROL-3-O-(2-O-FERULOYL-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-D-GLUCOPYRANOSIDE)-7-O-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-D-GLUCOPYRANOSYL-7-O-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-7-O-BETA-D-GLUCOPYRANOSYL(1-3)-[BETA-D-GLUCOPYRANOSYL(1-6)]-GLUCOPYRANOSIDE
BRASSICACEAE#BRASSICA JUNCEA#KAEMPFEROL-3-7-DIGLUCOSIDE#KAEMPFEROL-3-FERULOYL-SOPHOROSIDE#KAEMPFEROL-3-O-BETA-D-SOPHOROSIDE#KAEMPFEROL-3-SINAPOYL-SOPHOROSIDE#KAEMPFEROL-3-SOPHOROSIDE-7-GLUCOSIDE
BRASSICACEAE#BRASSICA NAPUS#KAEMPFEROL-3-7-DIGLUCOSIDE#KAEMPFEROL-3-FERULOYL-SOPHOROSIDE#KAEMPFEROL-3-O-BETA-D-SOPHOROSIDE#KAEMPFEROL-3-SINAPOYL-SOPHOROSIDE#KAEMPFEROL-3-SOPHOROSIDE-7-GLUCOSIDE
BRASSICACEAE#BRASSICA NAPUS_CV.NAPOBRASSICA#KAEMPFEROL
BRASSICACEAE#BRASSICA NAPUS_CV.PAROLL#KAEMPFEROL GLYCOSIDE#KAEMPFEROL-2'''-3-SINAPOYL-SOPHOROSIDE-7-GLUCOSIDE#KAEMPFEROL-3-SOPHOROSIDE-7-GLUCOSIDE
BRASSICACEAE#BRASSICA NAPUS_CV.PETRANOVA#KAEMPFEROL-3-(O-SINAPOYL-SOPHOROSIDE)-7-GLUCOSIDE#KAEMPFEROL-3-SOPHOROSIDE-7-GLUCOSIDE
BRASSICACEAE#BRASSICA NAPUS_CV.STALLION#KAEMPFEROL GLYCOSIDE#KAEMPFEROL-2'''-3-SINAPOYL-SOPHOROSIDE-7-GLUCOSIDE#KAEMPFEROL-3-SOPHOROSIDE-7-GLUCOSIDE
BRASSICACEAE#BRASSICA NIGRA#KAEMPFEROL-3-7-DIGLUCOSIDE#KAEMPFEROL-3-FERULOYL-SOPHOROSIDE#KAEMPFEROL-3-O-BETA-D-SOPHOROSIDE#KAEMPFEROL-3-SINAPOYL-SOPHOROSIDE#KAEMPFEROL-3-SOPHOROSIDE-7-GLUCOSIDE
BRASSICACEAE#BRASSICA OLERACEA#KAEMPFEROL-3-FERULOYL-SOPHOROSIDE#KAEMPFEROL-3-O-BETA-D-SOPHOROSIDE#KAEMPFEROL-3-SINAPOYL-SOPHOROSIDE#KAEMPFEROL-3-SOPHOROSIDE-7-GLUCOSIDE
BRASSICACEAE#BRASSICA OLERACEA_VAR.ACEPHALA#KAEMPFEROL
BRASSICACEAE#BRASSICA OLERACEA_VAR.ALBA#KAEMPFEROL
BRASSICACEAE#BRASSICA OLERACEA_VAR.BOTRYTIS#KAEMPFEROL
BRASSICACEAE#BRASSICA OLERACEA_VAR.BOTYRTIS#KAEMPFEROL-3-O-SOPHOROSIDE
BRASSICACEAE#BRASSICA OLERACEA_VAR.CAPITATA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-D-GLUCOPYRANOSIDE-7-O-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-[BETA-D-GLUCOPYRANOSYL(1-2)-GLUCOPYRANOSIDE]-7-O-BETA-D-[BETA-D-GLUCOPYRANOSYL(1-4)-GLUCOPYRANOSIDE]#KAEMPFEROL-3-O-BETA-D-[TRANS-2-CAFFEOYL-BETA-D-GLUCOPYRANOSYL(1-2)-GLUCOPYRANOSIDE]-7-O-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-[TRANS-2-CAFFEOYL-BETA-D-GLUCOPYRANOSYL(1-2)-GLUCOPYRANOSIDE]-7-O-BETA-D-[BETA-D-GLUCOPYRANOSYL(1-4)-GLUCOPYRANOSIDE]#KAEMPFEROL-3-O-BETA-D-[TRANS-2-FERULOYL-BETA-D-GLUCOPYRANOSYL(1-2)-GLUCOPYRANOSIDE]-7-O-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-[TRANS-2-FERULOYL-BETA-D-GLUCOPYRANOSYL(1-2)-GLUCOPYRANOSIDE]-7-O-BETA-D-[BETA-D-GLUCOPYRANOSYL(1-4)-GLUCOPYRANOSIDE]#KAEMPFEROL-3-O-BETA-D-[TRANS-2-PARA-COUMAROYL-BETA-D-GLUCOPYRANOSYL(1-2)-GLUCOPYRANOSIDE]-7-O-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-[TRANS-2-SINAPOYL-BETA-D-GLUCOPYRANOSYL(1-2)-GLUCOPYRANOSIDE]-7-O-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-[TRANS-2-SINAPOYL-BETA-D-GLUCOPYRANOSYL(1-2)-GLUCOPYRANOSIDE]-7-O-BETA-D-[BETA-D-GLUCOPYRANOSYL(1-4)-GLUCOPYRANOSIDE]
BRASSICACEAE#BRASSICA OLERACEA_VAR.GEMMIFERA#KAEMPFEROL
BRASSICACEAE#BRASSICA OLERACEA_VAR.GONGYLODES#KAEMPFEROL
BRASSICACEAE#BRASSICA OLERACEA_VAR.ITALICA#KAEMPFEROL
BRASSICACEAE#BRASSICA OLERACEA_VAR.RUBRA#KAEMPFEROL
BRASSICACEAE#BRASSICA OLERACEA_VAR.SABAUDA#KAEMPFEROL
BRASSICACEAE#BRASSICA OLERACEA_VAR.SABELLICA#KAEMPFEROL
BRASSICACEAE#BRASSICA RAPA#KAEMPFEROL-3-7-DI-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-7-DIGLUCOSIDE#KAEMPFEROL-3-FERULOYL-SOPHOROSIDE#KAEMPFEROL-3-O-BETA-D-SOPHOROSIDE#KAEMPFEROL-3-SINAPOYL-SOPHOROSIDE#KAEMPFEROL-3-SOPHOROSIDE-7-GLUCOSIDE#KAEMPFEROL-7-O-BETA-D-GLUCOSIDE-3-O-ALPHA-D-SOPHOROSIDE
BRASSICACEAE#CAKILE MARITIMA#KAEMPFEROL-4'-O-BETA-D-GLUCOSIDE#KAEMPFEROL-7-O-RHAMNOSIDE
BRASSICACEAE#CAPSELLA BURSA-PASTORIS#KAEMPFEROL-4'-METHYL ETHER
BRASSICACEAE#CARDARIA DRABA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-GLUCOSIDE
BRASSICACEAE#CRAMBE CORDIFOLIA#KAEMPFEROL-3-(2-HYDROXY-PROPIONYL)-GLUCOSIDE-4'-GLUCOSIDE#KAEMPFEROL-3-(PARA-COUMAROYL)-FERULOYL-DIGLUCOSIDE-7-RHAMNOSIDE#KAEMPFEROL-3-(PARA-COUMAROYL)-GLUCOSIDE-4'-7-DIGLUCOSIDE#KAEMPFEROL-3-(PARA-COUMAROYL)-GLUCOSIDE-4'-GLUCOSIDE#KAEMPFEROL-3-FERULOYL-GLUCOSIDE-7-GLUCOSIDE
BRASSICACEAE#CRAMBE SCABERRIMA#KAEMPFEROL-3-(2-HYDROXY-PROPIONYL)-GLUCOSIDE-4'-GLUCOSIDE#KAEMPFEROL-3-(PARA-COUMAROYL)-FERULOYL-DIGLUCOSIDE-7-RHAMNOSIDE#KAEMPFEROL-3-(PARA-COUMAROYL)-GLUCOSIDE-4'-7-DIGLUCOSIDE#KAEMPFEROL-3-(PARA-COUMAROYL)-GLUCOSIDE-4'-GLUCOSIDE#KAEMPFEROL-3-FERULOYL-GLUCOSIDE-7-GLUCOSIDE
BRASSICACEAE#CRAMBE TATARICA#KAEMPFEROL-3-(2-HYDROXY-PROPIONYL)-GLUCOSIDE-4'-GLUCOSIDE#KAEMPFEROL-3-(PARA-COUMAROYL)-FERULOYL-DIGLUCOSIDE-7-RHAMNOSIDE#KAEMPFEROL-3-(PARA-COUMAROYL)-GLUCOSIDE-4'-7-DIGLUCOSIDE#KAEMPFEROL-3-(PARA-COUMAROYL)-GLUCOSIDE-4'-GLUCOSIDE#KAEMPFEROL-3-FERULOYL-GLUCOSIDE-7-GLUCOSIDE
BRASSICACEAE#DESCURAINIA SOPHIA#KAEMPFEROL#KAEMPFEROL-3-7-DI-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSYL-7-O-BETA-GENTIOBIOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSYL-7-O-[(2-O-TRANS-SINAPOYL)-BETA-D-GLUCOPYRANOSYL(1-6)]-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-7-O-BETA-GENTIOBIOSIDE
BRASSICACEAE#DIPLOTAXIS MURALIS#KAEMPFEROL
BRASSICACEAE#DIPLOTAXIS SIMPLEX#KAEMPFEROL
BRASSICACEAE#DIPLOTAXIS TENUIFOLIA#KAEMPFEROL
BRASSICACEAE#DIPLOTAXIS VIMINEA#KAEMPFEROL
BRASSICACEAE#ERYSIMUM CHEIRI#KAEMPFEROL
BRASSICACEAE#IBERIS AMARA#KAEMPFEROL-3-O-ALPHA-L-ARABINOSYL-7-O-ALPHA-L-RHAMNOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-7-O-ALPHA-L-RHAMNOSIDE#KAEMPFEROL-7-O-ALPHA-L-RHAMNOSIDE
BRASSICACEAE#IBERIS SEMPERVIRENS#KAEMPFEROL
BRASSICACEAE#LEPIDIUM CAMPESTRE#KAEMPFEROL
BRASSICACEAE#LEPIDIUM LATIFOLIUM#KAEMPFEROL
BRASSICACEAE#LEPIDIUM PERFOLIATUM#KAEMPFEROL
BRASSICACEAE#LEPIDIUM SYVASCHICUM#KAEMPFEROL#KAEMPFEROL-7-O-ALPHA-L-RHAMNOSIDE
BRASSICACEAE#LOBULARIA MARITIMA#KAEMPFEROL#KAEMPFEROL-3-DIGLUCOSIDE#KAEMPFEROL-3-GLUCOSIDE-7-RHAMNOSIDE#KAEMPFEROL-7-RHAMNOSIDE
BRASSICACEAE#MATTHIOLA INCANA#KAEMPFEROL,DIHYDRO: 7-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-O-ALPHA-L-RHAMNOSO-ARABINOSYL-7-O-ALPHA-L-RHAMNOSIDE#KAEMPFEROL-3-O-ALPHA-L-RHAMNOSO-GLUCOSYL-7-O-ALPHA-L-RHAMNOSIDE#KAEMPFEROL-7-O-ALPHA-L-RHAMNOSIDE
BRASSICACEAE#MORETTIA PHILAEANA#KAEMPFEROL#KAEMPFEROL-3-O-{2''-(6'''-PARA-COUMAROYL-BETA-D-GLUCOPYRANOSYL)-ALPHA-L-ARABINOPYRANOSYL}-7''-O-BETA-D-GLUCOPYRANOSIDE
BRASSICACEAE#NERISYRENIA CAMPHORUM#KAEMPFEROL-3-O-BETA-D-GLUCOSIDE-7-O-GENTIOBIOSIDE
BRASSICACEAE#NERISYRENIA LINEARIFOLIA#KAEMPFEROL-3-O-BETA-D-NEOHESPERIDOSIDE
BRASSICACEAE#PACHYPHRAGMA MACROPHYLLUM#KAEMPFEROL-3-O-BETA-D-GALACTOSYL-7-O-BETA-D-GALACTOSIDE
BRASSICACEAE#PSEUDERUCARIA CLAVATA#KAEMPFEROL-3-4'-7-TRIGLUCOSIDE#KAEMPFEROL-3-O-NEOHESPERIDOSIDE-4'-7-DI-O-GLUCOSIDE#KAEMPFEROL-3-O-NEOHESPERIDOSIDE-4'-O-GLUCOSIDE
BRASSICACEAE#RAPHANUS RAPHANISTRUM#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-7-O-ALPHA-L-RHAMNOSIDE#KAEMPFEROL-7-O-ALPHA-RHAMNOSIDE#KAEMPFEROL-7-O-BETA-D-GLUCOSYL-3-O-ALPHA-L-RHAMNOSIDE
BRASSICACEAE#RAPHANUS SATIVUS#KAEMPFEROL#KAEMPFEROL,4'-7-DIMETHOXY:#KAEMPFEROL,4'-METHOXY:#KAEMPFEROL-3-7-O-ALPHA-L-DIRHAMNOPYRANOSIDE#KAEMPFEROL-3-GLUCOSYL-7-ARABINOSIDE#KAEMPFEROL-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-4)-BETA-D-GLUCOPYRANOSIDE
BRASSICACEAE#RAPHANUS SATIVUS_CV.RADICULA#KAEMPFEROL
BRASSICACEAE#RORIPPA INDICA#KAEMPFEROL#KAEMPFEROL-3-O-ARABINOSIDE#KAEMPFEROL-3-O-GLUCOSYL-7-O-RHAMNOSIDE#KAEMPFEROL-7-O-RHAMNOSIDE
BRASSICACEAE#SINAPIS ARVENSIS#KAEMPFEROL-3-7-DI-O-BETA-D-GLUCOSIDE#KAEMPFEROL-7-O-BETA-D-GLUCOSIDE-3-O-ALPHA-D-SOPHOROSIDE
BRASSICACEAE#SISYMBRIUM ARNOTTIANUM#KAEMPFEROL-3-4'-DI-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-7-DI-O-BETA-D-GLUCOSIDE
BRASSICACEAE#SISYMBRIUM GILLIESII#KAEMPFEROL-3-(2-HYDROXY-PROPIONYL)-GLUCOSIDE-4'-GLUCOSIDE#KAEMPFEROL-3-(PARA-COUMAROYL)-FERULOYL-DIGLUCOSIDE-7-RHAMNOSIDE#KAEMPFEROL-3-(PARA-COUMAROYL)-GLUCOSIDE-4'-7-DIGLUCOSIDE#KAEMPFEROL-3-(PARA-COUMAROYL)-GLUCOSIDE-4'-GLUCOSIDE#KAEMPFEROL-3-4'-DI-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-7-DI-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-7-DIGLUCOSIDE#KAEMPFEROL-3-FERULOYL-GLUCOSIDE-7-GLUCOSIDE#KAEMPFEROL-3-PERULOYL-GLUCOSIDE-7-GLUCOSIDE
BRASSICACEAE#SISYMBRIUM LEPTOCARPUM#KAEMPFEROL-3-4'-DI-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-7-DI-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-7-DIGLUCOSIDE
BRASSICACEAE#SISYMBRIUM SUBSCANDENS#KAEMPFEROL-3-4'-DI-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-7-DI-O-BETA-D-GLUCOSIDE
BROMELIACEAE#TILLANDSIA UTRICULATA#KAEMPFEROL-3-4'-6-7-TETRAMETHYL ETHER
BRYACEAE#BRYUM ALGENS#KAEMPFEROL#KAEMPFEROL GLYCOSIDE#KAEMPFEROL-3-4'-O-DIGLYCOSIDE#KAEMPFEROL-3-7-O-DIGLYCOSIDE#KAEMPFEROL-3-7-O-DIGLYCOSIDE MALONYLATE#KAEMPFEROL-3-O-GLUCOSIDE MALONYLATE#KAEMPFEROL-3-O-GLYCOSIDE
BRYACEAE#BRYUM PSEUDOTRIQUETRUM#KAEMPFEROL,3-METHOXY:#KAEMPFEROL-3-4'-DI-O-GLUCOSIDE#KAEMPFEROL-3-O-GALACTOSIDE-4'-O-GLUCOSIDE#KAEMPFEROL-3-O-GLUCOSIDE-6''-MALONYL ESTER#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
BUDDLEJACEAE#BUDDLEJA ASIATICA#KAEMPFEROL
BUDDLEJACEAE#BUDDLEJA POLYSTACHYA#KAEMPFEROL
BURSERACEAE#BURSERA GRAVEOLENS#KAEMPFEROL-3-O-BETA-D-XYLOPYRANOSIDE
BURSERACEAE#FILICIUM DECIPIENS#KAEMPFEROL-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-2)-BETA-D-GLUCOPYRANOSIDE
BURSERACEAE#PROTIUM GUIANENSE#KAEMPFEROL
BURSERACEAE#TETRAGASTRIS DUBIUM#KAEMPFEROL
CACTACEAE#CEPHALOCEREUS SENILIS#KAEMPFEROL-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-BETA-D-GALACTOPYRANOSIDE-7-O-ALPHA-L-RHAMNOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSYL(1-2)-O-[ALPHA-L-RHAMNOPYRANOSYL(1-6)]-BETA-D-GALACTOPYRANOSIDE-7-O-ALPHA-L-RHAMNOPYRANOSIDE#KAEMPFEROL-7-O-ALPHA-L-RHAMNOPYRANOSIDE
CACTACEAE#ECHINOCEREUS CHLORANTHUS#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
CACTACEAE#ECHINOCEREUS CHLORANTHUS_VAR.NEOCAPILLUS#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
CACTACEAE#ECHINOCEREUS DAVISII#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
CACTACEAE#ECHINOCEREUS RUSSANTHUS#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
CACTACEAE#ECHINOCEREUS TRIGLOCHIDIATUS_VAR.GURNEYI#KAEMPFEROL,DIHYDRO: 7-O-BETA-D-GLUCOSIDE
CACTACEAE#ECHINOCEREUS VIRIDIFLORUS_VAR.CORRELLII#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
CACTACEAE#ECHINOCEREUS VIRIDIFLORUS_VAR.CYLINDRICUS#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
CACTACEAE#ECHINOCEREUS VIRIDIFLORUS_VAR.VIRIDIFLORUS#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE
CACTACEAE#OPUNTIA DILLENII#KAEMPFEROL#KAEMPFEROL-3-O-ALPHA-L-ARABINOSIDE#KAEMPFEROL-7-O-BETA-D-GLUCOPYRANOSYL(1-4)-BETA-D-GLUCOPYRANOSIDE
CACTACEAE#OPUNTIA FICUS-CARICA_VAR.SABOTEN#KAEMPFEROL
CACTACEAE#OPUNTIA FICUS-INDICA#KAEMPFEROL
CACTACEAE#OPUNTIA FICUS-INDICA_VAR.#KAEMPFEROL
CACTACEAE#OPUNTIA FICUS-INDICA_VAR.SABOTEN#KAEMPFEROL,DIHYDRO: TRANS: (+):
CALYCANTHACEAE#CALYCANTHUS OCCIDENTALIS#KAEMPFEROL-3-RHAMNOGLUCOSIDE
CALYCERACEAE#BOOPIS GRAMINEA#KAEMPFEROL,6-METHOXY:
CALYCERACEAE#CALYCERA CRASSIFOLIA#KAEMPFEROL,6-METHOXY:
CALYCERACEAE#CALYCERA ERYNGIOIDES#KAEMPFEROL,6-METHOXY:
CALYCERACEAE#CALYCERA SPINULOSA#KAEMPFEROL,6-METHOXY:
CALYCERACEAE#NASTANTHUS SPATHULATUS#KAEMPFEROL,6-METHOXY:
CAMPANULACEAE#ADENOPHORA REMOTIFLORA_VAR.HIRTICALYX#KAEMPFEROL
CAMPANULACEAE#CAMPANULA ALLIARIAEFOLIA#KAEMPFEROL
CAMPANULACEAE#CAMPANULA BONONIENSIS#KAEMPFEROL-3-ROBINOBIOSIDE
CAMPANULACEAE#CAMPANULA LETSCHCHUMENSIS#KAEMPFEROL
CAMPANULACEAE#CAMPANULA MEDIUM#KAEMPFEROL
CAMPANULACEAE#SYMPHYANDRA ZANGEZURA#KAEMPFEROL
CANELLACEAE#WARBURGIA STUHLMANNII#KAEMPFEROL
CANELLACEAE#WARBURGIA UGANDENSIS#KAEMPFEROL#KAEMPFEROL-3-4'-7-TRI-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-O-ALPHA-RHAMNOSIDE-4'-7-DI-O-BETA-GALACTOSIDE#KAEMPFEROL-3-RHAMNOSIDE-4'-GALACTOSIDE
CANNABACEAE#CANNABIS SATIVA#KAEMPFEROL
CANNABACEAE#HUMULUS LUPULUS#KAEMPFEROL#KAEMPFEROL-3-RHAMNODIGLUCOSIDE#KAEMPFEROL-3-RHAMNOGLUCOSIDE#KAEMPFEROL-3-RHAMNOSIDE
CANNACEAE#CANNA DENUDATA#KAEMPFEROL
CAPPARIDACEAE#CAPPARIS ATAMISQUEA#KAEMPFEROL
CAPPARIDACEAE#CAPPARIS CYNOPHALLOPHORA_VAR.PUBESCENS#KAEMPFEROL
CAPPARIDACEAE#CAPPARIS HUMILIS#KAEMPFEROL
CAPPARIDACEAE#CAPPARIS ORIENTALIS#KAEMPFEROL-3-RHAMNOSYL-RUTINOSIDE
CAPPARIDACEAE#CAPPARIS RETUSA#KAEMPFEROL
CAPPARIDACEAE#CAPPARIS SICULA#KAEMPFEROL-3-RHAMNOSYL-RUTINOSIDE
CAPPARIDACEAE#CAPPARIS SPECIOSA#KAEMPFEROL
CAPPARIDACEAE#CAPPARIS SPINOSA#KAEMPFEROL#KAEMPFEROL-3-O-ALPHA-L-RHAMNOSYL-RUTINOSIDE#KAEMPFEROL-3-RHAMNO-RUTINOSIDE#KAEMPFEROL-3-RHAMNOSYL-RUTINOSIDE
CAPPARIDACEAE#CAPPARIS TWEEDIANA#KAEMPFEROL
CAPPARIDACEAE#CLEOME AFRICANA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-GLUCOSIDE-7-O-ALPHA-RHAMNOSIDE#KAEMPFEROL-3-O-RHAMNOSIDE
CAPPARIDACEAE#CLEOME AMBLYOCARPA#KAEMPFEROL-3-7-DI-O-ALPHA-L-RHAMNOSIDE#KAEMPFEROL-3-GLUCOSIDE-7-RHMANOSIDE#KAEMPFEROL-3-RHAMNOSIDE-7-GLUCOSIDE#KAEMPFEROL-7-RHAMNOSIDE
CAPPARIDACEAE#CLEOME BRACHYCARPA#KAEMPFEROL-3-BETA-RHAMNOSYL(3-1)-L-RHAMNOSIDE#KAEMPFEROL-3-GLUCOSIDE-7-RHAMNOSIDE#KAEMPFEROL-3-RHAMNOSIDE-7-GLUCOSIDE#KAEMPFEROL-7-RHAMNOSIDE
CAPPARIDACEAE#CLEOME CHRYSANTHA#KAEMPFEROL-3-GLUCOSIDE-7-RHAMNOSIDE#KAEMPFEROL-3-RHAMNOSIDE-7-GLUCOSIDE#KAEMPFEROL-7-RHAMNOSIDE
CAPPARIDACEAE#CLEOME DROSERIFOLIA#KAEMPFEROL#KAEMPFEROL-3-7-DI-O-ALPHA-L-RHAMNOPYRANOSIDE#KAEMPFEROL-3-GLUCOSIDE-7-RHAMNOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSIDE-7-O-ALPHA-L-RHAMNOPYRANOSIDE#KAEMPFEROL-3-O-GLUCOSYL-7-O-RHAMNOSIDE#KAEMPFEROL-3-RHAMNOSIDE-7-GLUCOSIDE#KAEMPFEROL-7-RHAMNOSIDE
CAPPARIDACEAE#CLEOME VISCOSA#KAEMPFEROL,DIHYDRO: 4'-O-BETA-D-XYLOSIDE
CAPPARIDACEAE#GYNANDROPSIS GYNANDRA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-GLUCOSIDE
CAPPARIDACEAE#MAERUA CRASSIFOLIA#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOPYRANOSIDE
CAPPARIDACEAE#POLANISIA TRACHYSPERMA#KAEMPFEROL
CAPRIFOLIACEAE#SAMBUCUS NIGRA#KAEMPFEROL-3-O-NEOHESPERIDOSIDE
CAPRIFOLIACEAE#SAMBUCUS RACEMOSA#KAEMPFEROL
CAPRIFOLIACEAE#SAMBUCUS WILLIAMSII#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM AWABUKII#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-D-GALACTOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-SOPHOROSIDE
CAPRIFOLIACEAE#VIBURNUM BUDDLEIFOLIUM#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM CARLESII#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM CINNAMOMIFOLIUM#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM CORYLIFOLIUM#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM COTINIFOLIUM#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM CYLINDRICUM#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM DAVIDII#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM DENTATUM#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM DILATATUM#KAEMPFEROL#KAEMPFEROL-3-O-(2(G)-RHAMNOSYL)-RUTINOSIDE#KAEMPFEROL-3-O-GENTIOBIOSIDE#KAEMPFEROL-3-O-ROBINOBIOSIDE
CAPRIFOLIACEAE#VIBURNUM FOETENS#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM FOETIDUM#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM FRAGRANS#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM FURCATUM#KAEMPFEROL-3-O-BETA-D-GLUCOSIDE-7-O-ALPHA-L-RHAMNOSIDE
CAPRIFOLIACEAE#VIBURNUM HENRYI#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM LANTANA#KAEMPFEROL#KAEMPFEROL-3-7-DI-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-DI-O-BETA-D-GLUCOSIDE
CAPRIFOLIACEAE#VIBURNUM LENTAGO#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM LOBOPHYLLUM#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM MACROCEPHALUM#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM MONGOLICUM#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM OPULUS#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM PHLEBOTRICHUM#KAEMPFEROL-3-O-ROBINBIOSIDE
CAPRIFOLIACEAE#VIBURNUM PLICATUM#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM RAFINESQUIANUM#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM RHYTIDOPHYLLUM#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM SARGENTII#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM SYMPODIALE#KAEMPFEROL
CAPRIFOLIACEAE#VIBURNUM TINUS#KAEMPFEROL#KAEMPFEROL-3-7-DI-O-BETA-D-GLUCOSIDE
CAPRIFOLIACEAE#WEIGELA SUBSESSILIS#KAEMPFEROL-3-O-ALPHA-L-(3-O-ACETYL)-RHAMNOPYRANOSYL-7-O-ALPHA-L-RHAMNOPYRANOSIDE#KAEMPFEROL-3-O-ALPHA-L-RHAMNOSYL-7-O-BETA-D-GLUCOSIDE#KAEMPFEROL-7-O-ALPHA-RHAMNOSIDE
CARYOPHYLLACEAE#DIANTHUS BARBATUS_CV.CHINA#KAEMPFEROL-3-O-BETA-D-SOPHOROSIDE
