Arachis hypogaea, 112728963, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis hypogaea, 112797152, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112702976, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112703123, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112703368, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112720341, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112720643, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112721220, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112721263, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112737548, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112758023, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112779679, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112782318, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112738241, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112758738, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112782699, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112800233, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112705729, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112722928, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112723189, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112741447, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112741448, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112761111, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112800309, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112800413, peroxidase 20-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112800509, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112800604, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112800757, peroxidase 72  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112706576, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112723581, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112723657, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112741450, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112741451, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112741452, peroxidase 15  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112741453, peroxidase A2  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112741459, peroxidase 53  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112741789, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112784111, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112784413, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112784477, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112801165, peroxidase C1C  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112707021, peroxidase 3  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112707213, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112742224, peroxidase 53-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112742225, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112784649, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112785078, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112801773, peroxidase 47  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112801792, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112707649, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112728138, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112743806, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112743807, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112743808, cationic peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112765574, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112765801, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112766174, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Arachis hypogaea, 112728505, UDP-glycosyltransferase 72D1  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis hypogaea, 112728513, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis hypogaea, 112728530, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis hypogaea, 112730518, UDP-glycosyltransferase 72D1-like  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis hypogaea, 112730519, anthocyanidin 3-O-glucosyltransferase 5-like  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis hypogaea, 112730520, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis hypogaea, 112749000, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis hypogaea, 112749007, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis hypogaea, 112749019, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis hypogaea, 112751931, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis hypogaea, 112800666, UDP-glycosyltransferase 72E1  [EC], ['EC:2.4.1.111'], KO:K12356
Arachis hypogaea, 112728188, anthocyanidin 3-O-glucosyltransferase 5  [EC], ['EC:2.4.1.111'], KO:K12356
