Panicum virgatum, 120656507, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Panicum virgatum, 120648898, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120662948, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120678394, peroxidase 51-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120692817, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120692827, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120692926, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120693031, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120708310, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120649672, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120649673, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120664175, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120664178, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120664179, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120664547, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120693976, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120694645, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120694658, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120694659, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120694839, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120694841, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120694842, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120650532, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120665032, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120665033, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120679630, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120680551, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120695292, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120695302, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120695311, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120695322, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120695331, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120695413, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120695593, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120695594, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120695620, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120695801, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120695816, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120695817, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120696044, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120696165, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120696244, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120696245, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120709330, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120709434, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120709457, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120709741, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120710109, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120710338, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120651462, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120651464, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120651550, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120665401, peroxidase 2-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120665725, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120681659, peroxidase 18-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120696525, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120696910, peroxidase 43-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120710564, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120710565, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120710710, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120711181, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120651846, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120651970, peroxidase 70-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120652251, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120652253, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120666363, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120666613, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120681945, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120682513, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120697370, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120697372, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120697517, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120697519, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120652433, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120652692, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120667288, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120667289, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120667346, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120667462, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120668426, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120668477, peroxidase 3-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120668581, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120668625, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120668626, peroxidase 16-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120683085, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120683216, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120698236, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120698237, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120712976, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120639146, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120669490, peroxidase 45-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120683733, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120683755, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120683852, cationic peroxidase SPC4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120698617, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120698938, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120713340, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Panicum virgatum, 120713442, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
