a 	b 
Capsicum annuum	3-Methyl-5-propyl-1,2-dithiolane
Capsicum annuum	4-Coumaroyl CoA
Capsicum annuum	5-O-Caffeoylshikimic acid
Capsicum annuum	5-Oxoproline
Capsicum annuum	6''-O-Vanilloylicariside E5
Capsicum annuum	6-Epiheteroxanthin
Capsicum annuum	7-Methyl-N-vanillyl-5-octenamide
Capsicum annuum	8'-Apo-beta-carotene-3,8'-diol
Capsicum annuum	8-Methyl-6-nonenoic acid
Capsicum annuum	8-Methyl-6-nonenoyl-CoA
Capsicum annuum	9,9'-Diapo-10,9'-retro-carotene-9,9'-dione
Capsicum annuum	9-Methyl-N-vanillyl-7-decenamide
Capsicum annuum	Ampelopsin
Capsicum annuum	Antheraxanthin
Capsicum annuum	Apo-10'-zeaxanthinal
Capsicum annuum	Apo-11-zeaxanthinal
Capsicum annuum	Apo-12'-capsorubinal
Capsicum annuum	Apo-12'-zeaxanthinal
Capsicum annuum	Apo-13-zeaxanthinone
Capsicum annuum	Apo-14'-zeaxanthinal
Capsicum annuum	Apo-3-zeaxanthinal
Capsicum annuum	Apo-8'-capsorubinal
Capsicum annuum	Apo-9-zeaxanthinone
Capsicum annuum	Botrydial
Capsicum annuum	Canusesnol A
Capsicum annuum	Canusesnol B
Capsicum annuum	Canusesnol C
Capsicum annuum	Canusesnol D
Capsicum annuum	Canusesnol E
Capsicum annuum	Canusesnol G
Capsicum annuum	Canusesnol H
Capsicum annuum	Canusesnol I
Capsicum annuum	Canusesnol J
Capsicum annuum	Capsaicin
Capsicum annuum	Capsanthin
Capsicum annuum	Capsanthin 5,6-epoxide
Capsicum annuum	Capsanthone
Capsicum annuum	Capsiamide
Capsicum annuum	Capsianoside A
Capsicum annuum	Capsianoside B
Capsicum annuum	Capsianoside C
Capsicum annuum	Capsianoside IX
Capsicum annuum	Capsianoside L
Capsicum annuum	Capsianoside VIII
Capsicum annuum	Capsianoside X
Capsicum annuum	Capsianoside XV
Capsicum annuum	Capsianoside XVI
Capsicum annuum	Capsianside III
Capsicum annuum	Capsiate
Capsicum annuum	Capsicoside A
Capsicum annuum	Capsicoside A2
Capsicum annuum	Capsicoside A3
Capsicum annuum	Capsicoside B2
Capsicum annuum	Capsicoside C2
Capsicum annuum	Capsicoside C3
Capsicum annuum	Capsicoside D
Capsicum annuum	Capsicoside E1
Capsicum annuum	Capsicosin
Capsicum annuum	Capsidiol
Capsicum annuum	Capsochrome
Capsicum annuum	Capsorubin
Capsicum annuum	Carlinoside
Capsicum annuum	Chorismate
Capsicum annuum	Chrysoeriol
Capsicum annuum	Cinnamic acid
Capsicum annuum	Citric acid
Capsicum annuum	Corticrocin
Capsicum annuum	Cosmosiin
Capsicum annuum	Coumaric acid
Capsicum annuum	Cryptocapsin
Capsicum annuum	Cynaroside
Capsicum annuum	Cytidine
Capsicum annuum	D-Gluconate
Capsicum annuum	D-Glyceric acid
Capsicum annuum	Delphinidin
Capsicum annuum	Dihydrocapsaicin
Capsicum annuum	Dihydrocapsenone
Capsicum annuum	Dihydrocapsiate
Capsicum annuum	E-beta-carotene
Capsicum annuum	Ferulic acid
Capsicum annuum	Feruloyl-CoA
Capsicum annuum	GABA
Capsicum annuum	Geranylgeranyl diphosphate
Capsicum annuum	Glycine
Capsicum annuum	Isobutyryl CoA
Capsicum annuum	Isoschaftoside
Capsicum annuum	Kaempferol
Capsicum annuum	Karpoxanthin
Capsicum annuum	Ketovaline
Capsicum annuum	L-Alanine
Capsicum annuum	L-Asparagine
Capsicum annuum	L-Aspartic acid
Capsicum annuum	L-Glutamic acid
Capsicum annuum	L-Leucine
Capsicum annuum	L-Phenylalanine
Capsicum annuum	L-Proline
Capsicum annuum	L-Serine
Capsicum annuum	L-Threonic acid
Capsicum annuum	L-Threonine
Capsicum annuum	L-Valine
Capsicum annuum	L-isoleucine
Capsicum annuum	Lariciresinol
Capsicum annuum	Leucocyanidin
Capsicum annuum	Leucopelargonidin
Capsicum annuum	Lubiminol
Capsicum annuum	Luteolin
Capsicum annuum	Luteolin 7-O-(2-apiofuranosyl-4-glucopyranosyl-6-malonyl)glucopyranoside
Capsicum annuum	Luteolin 7-apiosyl-(1->2)-glucoside
Capsicum annuum	Lycopene
Capsicum annuum	Malic acid
Capsicum annuum	Maltose
Capsicum annuum	Mutatochrome
Capsicum annuum	Mutatoxanthin
Capsicum annuum	N-trans-Caffeoyldopamine
Capsicum annuum	Naringenin
Capsicum annuum	Naringenin chalcone
Capsicum annuum	Neoxanthin
Capsicum annuum	Nordihydrocapsaicin
Capsicum annuum	Nordihydrocapsiate
Capsicum annuum	Nornorcapsaicin
Capsicum annuum	Obtusifoliol
Capsicum annuum	Oxalic acid
Capsicum annuum	Pelargonidin
Capsicum annuum	Phytoene
Capsicum annuum	Prenigroxanthin
Capsicum annuum	Protodegalactotigonin
Capsicum annuum	Putrescine
Capsicum annuum	Pyruvic acid
Capsicum annuum	Quercetin
Capsicum annuum	Quercetin 3-rhamnoside-7-glucoside
Capsicum annuum	Quercitrin
Capsicum annuum	S-(1-Methylhexyl)cysteine
Capsicum annuum	Salicylic acid beta-D-glucoside
Capsicum annuum	Shikimic acid
Capsicum annuum	Succinic acid
Capsicum annuum	Taxifolin
Capsicum annuum	Vanillin
Capsicum annuum	Vanillylamine
Capsicum annuum	Violaxnathin
Capsicum annuum	Zeaxanthin
Capsicum annuum	beta-Carotene 5,6-epoxide
Capsicum annuum	beta-Citraurin
Capsicum annuum	beta-Cryptoxanthin
Capsicum annuum	caffeoyl-CoA
Capsicum annuum	gamma-Carotene
Capsicum annuum	omega-Hydroxycapsaicin
Capsicum annuum	p-Coumaric acid
Capsicum annuum	p-Coumaroyl CoA
Capsicum annuum	trans-4-Hydroxy-N-methyl-L-proline
Capsicum annuum	trans-p-Feruloyl-beta-D-glucopyranoside
Capsicum annuum	trans-p-Ferulyl alcohol 4-O-[6-(2-methyl-3-hydroxypropionyl)] glucopyranoside
Capsicum annuum	trans-p-Sinapoyl beta-D-glucopyranoside
Capsicum annuum var.grossum	(+-)-Grossamide
Capsicum annuum var.grossum	N-cis-Feruloyloctopamine
Capsicum annuum L.	Capsianoside C
Capsicum annuum L.	Capsianoside D
Capsicum annuum L.	Capsianoside E
Capsicum annuum L.	Capsianoside F
Capsicum annuum L.	Capsianoside II
Capsicum annuum L.	Capsianoside III
Capsicum annuum L.	Lanosterol
Capsicum annuum L.	Lutein
Capsicum annuum L.	Phytofluene
Capsicum annuum L.	alpha-Cryptoxanthin
Capsicum annuum var. longum nigrum	Cycloviolaxanthin
Capsicum annuum var. longum nigrum	Nigroxanthin
Capsicum annuum var. longum	(3S,3'R,5S,6S)-5,6-Dihydro-3,3',5,6-tetrahydroxy-beta,beta-carotene
Capsicum annuum var. longum	5,6-Diepicapsokarpoxanthin
Capsicum annuum var. longum	5,6-Diepilatoxanthin
Capsicum annuum var. longum	Capsanthin 3,6-epoxide
Capsicum annuum var. longum	Cucurbitachrome 2
Capsicum annuum var. longum	Cucurbitaxanthin A
Capsicum annuum var. longum	Cucurbitaxanthin B
Capsicum annuum var. longum	Curcurbitachrome 1
Capsicum annuum var. acuminatum	2,3-Dihydro-5-(3-hydroxy-1-propenyl)-2,7-dimethoxy-3-benzofuranmethanol
Capsicum annuum var. acuminatum	Capsoside A
Capsicum annuum var. acuminatum	Capsoside B
Capsicum annuum var. acuminatum	Icariside E5
Capsicum annuum var. grossum	Capsianoside V methyl ester
Capsicum annuum var. grossum	Capsianoside XIV
Capsicum annuum var. grossum	Capsianoside XVII
Capsicum annuum var. grossum	N-cis-p-Coumaroyloctopamine
Capsicum annuum var. grossum	N-trans-p-Coumaroyloctopamine
Capsicum annuum var. fascuilatum	Capsianoside I
Capsicum annuum var. lycopersiforme	Cryptoxanthin epoxide
Capsicum annuum var. angulosum	2,3-Dihydro-5-(3-hydroxy-1-propenyl)-2,7-dimethoxy-3-benzofuranmethanol
Capsicum annuum var. conides	Capsicoside B
Capsicum annuum var. conides	Capsicoside C
Capsicum annuum var. fasciculatum	Capsicoside B
Capsicum annuum var. fasciculatum	Capsicoside C
Carica papaya	(+)-Ascorbic acid
Carica papaya	(+-)-Dehydrolinalool
Carica papaya	(E)-Geranylacetone
Carica papaya	(E)-geraniol
Carica papaya	(S)-beta-Bisabolene
Carica papaya	(Z)-Farnesene
Carica papaya	(Z)-alpha-exo-bergamotol
Carica papaya	1-Cyclohexylbutane
Carica papaya	1-Ethyl-3,5-dimethylbenzene
Carica papaya	1-Methylnaphthalene
Carica papaya	12,13-Didehydrocarpaine
Carica papaya	2,3-Dimethylnaphthalene
Carica papaya	2,5-Dimethoxymandelic acid
Carica papaya	2-Deoxygalactopyranose
Carica papaya	2-Methylnaphthalene
Carica papaya	2-Propylheptanol
Carica papaya	3,4-Dimethoxymandelic acid
Carica papaya	3-Methyl-5-propylnonane
Carica papaya	3-O-Caffeoylquinic acid
Carica papaya	5-Hydroxyconiferaldehyde
Carica papaya	5-Hydroxyconiferyl alcohol
Carica papaya	5-Hydroxyferulic acid
Carica papaya	5-Hydroxyferuloyl-CoA
Carica papaya	5-Methyl-2-hexanone
Carica papaya	5beta-Pregnan-17-ol
Carica papaya	Acetamide
Carica papaya	Acetic acid
Carica papaya	Adipic acid
Carica papaya	Alternariol 3,4',5-Trihydroxy-6'-methyl-dibenzo[a]pyrone
Carica papaya	Antheraxanthin
Carica papaya	Benzaldehyde
Carica papaya	Benzyl isothiocyanate
Carica papaya	Benzylglucosinolate
Carica papaya	Bergamotene
Carica papaya	Blekin
Carica papaya	Butanoic acid
Carica papaya	Caffeic acid
Carica papaya	Caffeine
Carica papaya	Caffeoyl alcohol
Carica papaya	Caffeoyl aldehyde
Carica papaya	Caproic acid
Carica papaya	Carbonic acid, pentadecyl propyl ester
Carica papaya	Carpaine
Carica papaya	Cholesterol
Carica papaya	Cinnamaldehyde
Carica papaya	Cinnamic acid
Carica papaya	Cinnamoyl-CoA
Carica papaya	Citric acid
Carica papaya	Clitorin
Carica papaya	Coniferaldehyde
Carica papaya	Coniferyl alcohol
Carica papaya	Coumaric acid
Carica papaya	Creatine
Carica papaya	D-Galactose
Carica papaya	D-Turanose
Carica papaya	Danielone
Carica papaya	Dehydrocarpaine II
Carica papaya	E-beta-carotene
Carica papaya	Ethyl octadecanoate
Carica papaya	Ferulic acid
Carica papaya	Feruloyl-CoA
Carica papaya	Fructose
Carica papaya	Fumaric acid
Carica papaya	GABA
Carica papaya	Galactaric acid
Carica papaya	Geranylgeranyl diphosphate
Carica papaya	Gibberellin A1
Carica papaya	Gibberellin A3
Carica papaya	Gibberellin A35
Carica papaya	Gibberellin A55
Carica papaya	Glucose
Carica papaya	Glycylglycine
Carica papaya	Gulose
Carica papaya	Hesperidin
Carica papaya	Hexadecane
Carica papaya	Hexanal
Carica papaya	Inositol
Carica papaya	Isopropyl alcohol
Carica papaya	Isopropylcyclohexane
Carica papaya	Kaempferol
Carica papaya	L-Citrulline
Carica papaya	L-Glutamic acid
Carica papaya	L-Histidine
Carica papaya	Lactic acid
Carica papaya	Levulinic acid
Carica papaya	Linoleic acid, methyl ester
Carica papaya	Lutein
Carica papaya	Malic acid
Carica papaya	Manghaslin
Carica papaya	Methyl 8,11,14-docosatrienoate
Carica papaya	Methyl geranate
Carica papaya	Methyl hexadecanoate
Carica papaya	Mutatochrome
Carica papaya	Myricitrin
Carica papaya	Naphthalene
Carica papaya	Naringenin
Carica papaya	Neochlorogenic acid
Carica papaya	Nerolidol
Carica papaya	Nonadecane
Carica papaya	Norphytane
Carica papaya	Oct-1-en-3-ol
Carica papaya	Octadecane
Carica papaya	Octadecanoic acid
Carica papaya	Octanal
Carica papaya	Palmitaldehyde
Carica papaya	Palmitic acid
Carica papaya	Pentaric acid
Carica papaya	Phytane
Carica papaya	Phytoene
Carica papaya	Phytofluene
Carica papaya	Prehnitol
Carica papaya	Propionic acid
Carica papaya	Protocatechuic acid
Carica papaya	Pyrazine
Carica papaya	Quercetin
Carica papaya	Quinic acid
Carica papaya	Raffinose
Carica papaya	Ribonic acid
Carica papaya	Rutin
Carica papaya	Sedoheptulose
Carica papaya	Sinapaldehyde
Carica papaya	Sinapic acid
Carica papaya	Sinapoyl-CoA
Carica papaya	Sinapyl alcohol
Carica papaya	Sorbopyranose
Carica papaya	Succinic acid
Carica papaya	Sucrose
Carica papaya	Trigonelline
Carica papaya	Tryptamine
Carica papaya	Vanillic acid
Carica papaya	Violaxnathin
Carica papaya	Zeaxanthin
Carica papaya	alpha-Carotene
Carica papaya	alpha-Curcumene
Carica papaya	alpha-D-Galactopyranose
Carica papaya	alpha-Zingiberene
Carica papaya	beta-Carotene 5,6-epoxide
Carica papaya	beta-Caryophyllene
Carica papaya	beta-Cryptoxanthin
Carica papaya	caffeoyl-CoA
Carica papaya	delta-Carotene
Carica papaya	linalool
Carica papaya	n-Pentadecane
Carica papaya	n-Tetradecane
Carica papaya	neo-Inositol
Carica papaya	p-Coumaraldehyde
Carica papaya	p-Coumaric acid
Carica papaya	p-Coumaroyl CoA
Carica papaya	p-Coumaryl alcohol
Carica papaya	psi-Carpaine
Carica papaya	trans-2-Decenal
Carica papaya	zehta-carotene
Chenopodium quinoa	1-O-Vanilloyl-beta-D-glucose
Chenopodium quinoa	4,5-seco-DOPA
Chenopodium quinoa	Betalamic acid
Chenopodium quinoa	Betanidin
Chenopodium quinoa	Betanin
Chenopodium quinoa	Chenopodin
Chenopodium quinoa	Cyclo-DOPA
Chenopodium quinoa	DOPA-betaxanthin
Chenopodium quinoa	Dihydroxyphenylalanine
Chenopodium quinoa	Dopaxanthin-quinone
Chenopodium quinoa	Kaempferol 3-(2Gal-apiosylrobinobioside)
Chenopodium quinoa	Kaempferol 3-apiosyl-(1->2)-galactoside
Chenopodium quinoa	Leuko-DOPA-chrome-glucoside
Chenopodium quinoa	Mauritianin
Chenopodium quinoa	Momordin IIc
Chenopodium quinoa	Quinoside A
Chenopodium quinoa	Tyrosine-betaxanthin
Chenopodium quinoa	o-DOPA-quinone
Chenopodium quinoa Wild.	3-O-alpha-L-arabinopyranosylserjanic acid 28-O-beta-D-glucopyranosyl ester
Chenopodium quinoa Wild.	Chikusetsusaponin IVa
Chenopodium quinoa Wild.	Ilexoside XLVIII
Chenopodium quinoa Wild.	Quinoasaponin 1
Chenopodium quinoa Wild.	Quinoasaponin 2
Chenopodium quinoa Wild.	Quinoasaponin 3
Chenopodium quinoa Wild.	Quinoasaponin 4
Chenopodium quinoa Wild.	Quinoasaponin 5
Chenopodium quinoa Wild.	Quinoasaponin 8
Chlamydomonas reinhardtii	(R)-Ureidoglycolate
Chlamydomonas reinhardtii	(S)-2,3-Epoxysqualene
Chlamydomonas reinhardtii	(S)-Ureidoglycolate
Chlamydomonas reinhardtii	Allantoic acid
Chlamydomonas reinhardtii	Cycloartenol
Chondrus crispus	5-Hydroxytryptamine
Chondrus crispus	5-Methoxytryptamine
Chondrus crispus	Melatonin
Cicer arietinum	(-)-Maackiain
Cicer arietinum	2',3,4'-Trihydroxy-6,7-methylenedioxyflavan
Cicer arietinum	9-O-Methylcoumestrol
Cicer arietinum	Adenine
Cicer arietinum	Betavulgarin
Cicer arietinum	Biochanin A
Cicer arietinum	Biochanin A 7-O-glucoside
Cicer arietinum	Caffeic acid
Cicer arietinum	Cicerin
Cicer arietinum	Ciceritol
Cicer arietinum	Daidzein
Cicer arietinum	Daphnetin
Cicer arietinum	Dihydrozeatin
Cicer arietinum	Formononetin
Cicer arietinum	Formononetin 7-O-beta-D-glucoside-6''-O-malonate
Cicer arietinum	Fumaric acid
Cicer arietinum	Garbanzol
Cicer arietinum	Genistein
Cicer arietinum	Glycitein
Cicer arietinum	Glyoxalic acid
Cicer arietinum	Homoferreirin
Cicer arietinum	Isoliquiritigenin
Cicer arietinum	Isorhamnetin
Cicer arietinum	Kaempferol 3-apiosyl-(1->2)-glucoside
Cicer arietinum	Liquiritigenin
Cicer arietinum	Maackiain 3-O-glucosyl-6''-malonate
Cicer arietinum	Medicagol
Cicer arietinum	Neoisoliquiritigenin
Cicer arietinum	Ononin
Cicer arietinum	Oxalic acid
Cicer arietinum	Pratensein
Cicer arietinum	Pratol
Cicer arietinum	Pseudouridine
Cicer arietinum	Puerarin
Cicer arietinum	Pyruvic acid
Cicer arietinum	Resokaempferol
Cicer arietinum	Scanderone
Cicer arietinum	Senegalensin
Cicer arietinum	Soyasaponin I
Cicer arietinum	Stigmasterol
Cicer arietinum	Trigonelline
Cicer arietinum	alpha-Resorcylic acid
Cicer arietinum	trans-Zeatin
Citrus clementina	Aurapten
Citrus clementina	Bergamottin
Citrus clementina	Bergaptan
Citrus clementina	Isopimpinellin
Citrus clementina	Lilac alcohol
Citrus clementina	Oxypeucedanin
Citrus sinensis	(+)-alpha-Pinene
Citrus sinensis	(-)-Carene(-)-3-Carene
Citrus sinensis	(3S,5R,6S)-5,6-Epoxy-5,6-dihydro-3-hydroxy-8'-apo-beta,psi-carotenal
Citrus sinensis	(E)-Geranylacetone
Citrus sinensis	(E)-Ocimene
Citrus sinensis	(S)-beta-Bisabolene
Citrus sinensis	(Z)-3-Hexenyl acetate
Citrus sinensis	(Z)-Farnesene
Citrus sinensis	(Z)-Jasmone
Citrus sinensis	10'-Apoviolaxanthal
Citrus sinensis	2,4(8)-p-Menthadiene
Citrus sinensis	2,6-Dimethyl-1,3,5,7-octatetraene
Citrus sinensis	2,6-Dimethyl-2,4,6-octatriene
Citrus sinensis	2-Aminopropanol
Citrus sinensis	2-Ethyl-1-hexanol
Citrus sinensis	2-Methylfuran
Citrus sinensis	3,3',4',5,6,7,8-Heptamethoxyflavone
Citrus sinensis	3,8-Di-C-glucopyranosyldiosmetin
Citrus sinensis	3-Hydroxysintaxanthin
Citrus sinensis	3-Methyltricosane
Citrus sinensis	4',5,7,8-Tetramethoxyflavone
Citrus sinensis	5,6,7,4'-Tetramethoxyflavanone
Citrus sinensis	5,6:5',8'-Diepoxy-5,5',6,8'-tetrahydro-beta,beta-caroten-3-ol
Citrus sinensis	5,7,4'-Trimethoxyflavone
Citrus sinensis	5-Demethylnobiletin
Citrus sinensis	5-Hydroxy-3,6,7,8,3'4'-hexamethoxyflavone
Citrus sinensis	6',7'-Dihydroxybergamottin
Citrus sinensis	6'-Hydroxy-3,4,2',3',4'-pentamethoxychalcone
Citrus sinensis	6-Methyl-5-hepten-2-one
Citrus sinensis	7-Hydroxy-3,5,6,8,3',4'-hexamethoxyflavone
Citrus sinensis	8-Heptadecene
Citrus sinensis	Acetone
Citrus sinensis	Adrenaline
Citrus sinensis	Benzaldehyde
Citrus sinensis	Benzeneacetaldehyde
Citrus sinensis	Benzoic acid
Citrus sinensis	Bergaptan
Citrus sinensis	Butanoic acid
Citrus sinensis	Caffeic acid
Citrus sinensis	Camphene
Citrus sinensis	Carene
Citrus sinensis	Carvyl acetate
Citrus sinensis	Citral
Citrus sinensis	Citronellal
Citrus sinensis	Citrunobin
Citrus sinensis	Citrusin II
Citrus sinensis	Citrusin III
Citrus sinensis	Citrusin IV
Citrus sinensis	Copaene
Citrus sinensis	Coumaric acid
Citrus sinensis	Cryptoflavin
Citrus sinensis	Cyanidin 3-(4''-acetylglucoside)
Citrus sinensis	Cyanidin 3-(6''-malonylglucoside)
Citrus sinensis	DMNT
Citrus sinensis	Deacetylnomilin
Citrus sinensis	Didymin
Citrus sinensis	Dihydrokaempferide 7-rhamnoside
Citrus sinensis	Dihydroxyphenylalanine
Citrus sinensis	Dimethylmalonic acid
Citrus sinensis	Dopamine
Citrus sinensis	Erythritol
Citrus sinensis	Ethanol
Citrus sinensis	Ferulic acid
Citrus sinensis	GABA
Citrus sinensis	Gardenin B
Citrus sinensis	Gibberellin A1
Citrus sinensis	Gibberellin A17
Citrus sinensis	Gibberellin A19
Citrus sinensis	Gibberellin A20
Citrus sinensis	Gibberellin A29
Citrus sinensis	Gibberellin A3
Citrus sinensis	Gibberellin A4
Citrus sinensis	Gibberellin A44
Citrus sinensis	Gibberellin A8
Citrus sinensis	Gibberellin A81
Citrus sinensis	Gibberellin A9
Citrus sinensis	Gossypetin 3,7,8,3',4'-pentamethyl ether
Citrus sinensis	Gossypetin hexamethyl ether
Citrus sinensis	Heptadecane
Citrus sinensis	Hexan-1-ol
Citrus sinensis	Hexanal
Citrus sinensis	Indole
Citrus sinensis	Indoleacetic acid
Citrus sinensis	Inositol
Citrus sinensis	Isopropyl alcohol
Citrus sinensis	Isosinensetin
Citrus sinensis	Jasmonic acid
Citrus sinensis	Lilac alcohol
Citrus sinensis	Limonene
Citrus sinensis	Limonene oxide
Citrus sinensis	Mannitol
Citrus sinensis	Methyl anthranilate
Citrus sinensis	Methyl indole-3-acetate
Citrus sinensis	Methyl salicylate
Citrus sinensis	Mutatochrome
Citrus sinensis	N-Acetyl-L-proline
Citrus sinensis	N-Carboxyglycine
Citrus sinensis	N-Methylproline
Citrus sinensis	Narirutin
Citrus sinensis	Neoalloocimene
Citrus sinensis	Nerol
Citrus sinensis	Nerolidol
Citrus sinensis	Nobiletin
Citrus sinensis	Noradrenaline
Citrus sinensis	Noscapine
Citrus sinensis	Octadecanoic acid
Citrus sinensis	Octanal
Citrus sinensis	Osthol
Citrus sinensis	Oxypeucedanin
Citrus sinensis	Palmitic acid
Citrus sinensis	Phytol
Citrus sinensis	Putrescine
Citrus sinensis	Quercetagetin 3,5,6,3',4'-pentamethyl ether
Citrus sinensis	Quercetagetin hexamethyl ether
Citrus sinensis	Retusin(Ariocarpus)
Citrus sinensis	Ribonic acid
Citrus sinensis	Sabinene
Citrus sinensis	Sabinene hydrate
Citrus sinensis	Salvigenin
Citrus sinensis	Scutellarein 5,6,7,4'-tetramethyl ether
Citrus sinensis	Scyllitol
Citrus sinensis	Sinensetin
Citrus sinensis	Sintaxanthin
Citrus sinensis	Sorbitol
Citrus sinensis	Synephrine
Citrus sinensis	Tangeretin
Citrus sinensis	Tetradecanoic acid
Citrus sinensis	Tridecane
Citrus sinensis	Tyramine
Citrus sinensis	Undecane
Citrus sinensis	Xylitol
Citrus sinensis	alpha-Myrcene
Citrus sinensis	alpha-Phellandrene
Citrus sinensis	alpha-Sinensal
Citrus sinensis	alpha-Terpinene
Citrus sinensis	alpha-Terpinolene
Citrus sinensis	alpha-Thujene
Citrus sinensis	beta-Carotene 5,6-epoxide
Citrus sinensis	beta-Caryophyllene
Citrus sinensis	beta-Elemene
Citrus sinensis	beta-L-Arabinopyranose
Citrus sinensis	beta-Myrcene
Citrus sinensis	beta-Pinene
Citrus sinensis	beta-Sinensal
Citrus sinensis	chiro-Inositol
Citrus sinensis	cis-Citral
Citrus sinensis	delta-Cadinene
Citrus sinensis	linalool
Citrus sinensis	n-Pentadecane
Citrus sinensis	n-Phenylformamide
Citrus sinensis	p-Cymene
Citrus sinensis	trans-Citral
Citrus sinensis	trans-beta-Farnesene
Citrus sinensis L.	(+)-Bicyclogermacrene
Citrus sinensis L.	(+)-Nootkatone
Citrus sinensis L.	(2E)-2-Hexanal
Citrus sinensis L.	(E)-geraniol
Citrus sinensis L.	(Z)-beta-Ocimene
Citrus sinensis L.	1-Octanol
Citrus sinensis L.	Carvone
Citrus sinensis L.	Citronellyl acetate
Citrus sinensis L.	Decanal
Citrus sinensis L.	Ethyl acetate
Citrus sinensis L.	Geranyl acetate
Citrus sinensis L.	L-Alloaromadendrene
Citrus sinensis L.	Neryl acetate
Citrus sinensis L.	Nonanal
Citrus sinensis L.	Terpin-1-en-4-ol
Citrus sinensis L.	Undecanal
Citrus sinensis L.	Valencene
Citrus sinensis L.	alpha-Caryophyllene (obsol.)
Citrus sinensis L.	alpha-Cubebene
Citrus sinensis L.	alpha-Terpineol
Citrus sinensis L.	beta-Cubebene
Citrus sinensis L.	beta-Terpineol
Citrus sinensis L.	delta-Amorphene
Citrus sinensis L.	gamma-Terpinene
Citrus sinensis L.	m-Thymol
Poncirus trifoliate x Citrus sinensis	(+)-Bicyclogermacrene
Poncirus trifoliate x Citrus sinensis	(-)-Germacrene A
Poncirus trifoliate x Citrus sinensis	(2Z,6Z)-Farnesol
Poncirus trifoliate x Citrus sinensis	(E)-Nerolidol
Poncirus trifoliate x Citrus sinensis	(E)-beta-Ocimene
Poncirus trifoliate x Citrus sinensis	(E)-geraniol
Poncirus trifoliate x Citrus sinensis	(Z)-Farnesene
Poncirus trifoliate x Citrus sinensis	(Z)-beta-Ocimene
Poncirus trifoliate x Citrus sinensis	2,4(8)-p-Menthadiene
Poncirus trifoliate x Citrus sinensis	Citronellal
Poncirus trifoliate x Citrus sinensis	Germacrene B
Poncirus trifoliate x Citrus sinensis	Germacrene D
Poncirus trifoliate x Citrus sinensis	Germacrene D-4-ol
Poncirus trifoliate x Citrus sinensis	Limonene
Poncirus trifoliate x Citrus sinensis	Linalool oxide
Poncirus trifoliate x Citrus sinensis	Neryl acetate
Poncirus trifoliate x Citrus sinensis	Phytol
Poncirus trifoliate x Citrus sinensis	alpha-Caryophyllene (obsol.)
Poncirus trifoliate x Citrus sinensis	alpha-Eudesmol
Poncirus trifoliate x Citrus sinensis	alpha-Phellandrene
Poncirus trifoliate x Citrus sinensis	alpha-Ylangene
Poncirus trifoliate x Citrus sinensis	beta-Caryophyllene
Poncirus trifoliate x Citrus sinensis	beta-Elemene
Poncirus trifoliate x Citrus sinensis	beta-Myrcene
Poncirus trifoliate x Citrus sinensis	beta-Phellendrene
Poncirus trifoliate x Citrus sinensis	beta-Sesquiphellandrene
Poncirus trifoliate x Citrus sinensis	beta-Sinensal
Poncirus trifoliate x Citrus sinensis	delta-Elemene
Poncirus trifoliate x Citrus sinensis	gamma-Elemene
Poncirus trifoliate x Citrus sinensis	linalool
Poncirus trifoliate x Citrus sinensis	p-Mentha-1(7),8-diene
Poncirus trifoliate x Citrus sinensis	trans-Sesquisabinene hydrate
Citrus reticulate x Citrus sinensis	(-)-Germacrene A
Citrus reticulate x Citrus sinensis	(E)-Nerolidol
Citrus reticulate x Citrus sinensis	(E)-beta-Ocimene
Citrus reticulate x Citrus sinensis	(Z)-Farnesene
Citrus reticulate x Citrus sinensis	(Z)-beta-Ocimene
Citrus reticulate x Citrus sinensis	Citronellal
Citrus reticulate x Citrus sinensis	Geranyl acetate
Citrus reticulate x Citrus sinensis	Limonene
Citrus reticulate x Citrus sinensis	Phytol
Citrus reticulate x Citrus sinensis	Sabinene hydrate
Citrus reticulate x Citrus sinensis	Terpin-1-en-4-ol
Citrus reticulate x Citrus sinensis	alpha-Caryophyllene (obsol.)
Citrus reticulate x Citrus sinensis	alpha-Farnesene
Citrus reticulate x Citrus sinensis	alpha-Terpineol
Citrus reticulate x Citrus sinensis	beta-Caryophyllene
Citrus reticulate x Citrus sinensis	beta-Elemene
Citrus reticulate x Citrus sinensis	beta-Myrcene
Citrus reticulate x Citrus sinensis	cis-Citral
Citrus reticulate x Citrus sinensis	linalool
Citrus reticulate x Citrus sinensis	trans-Citral
Citrus sinensis cv.Valencia	2',6'-Dihydroxy-4'-methoxyacetophenone
Citrus sinensis cv.Valencia	3'-Hydroxyacetophenone
Citrus sinensis cv.Valencia	4-(3-Methyl-2-butenoxy)isonitrosoacetophenone
Citrus sinensis cv.Valencia	Aesculetin dimethyl ether
Citrus sinensis cv.Valencia	Piceol
Citrus sinensis cv.Valencia	Scopoletin
Citrus sinensis cv.Valencia	Umbelliferone
Citrus sinensis cv.Valencia	Xanthoxylin
Citrus sinensis grafted on Citrus limonia	Atalaphyllidine
Citrus sinensis var.brasiliensis	Citracridone-I
Citrus sinensis var.brasiliensis	Citrusinine I
Citrus sinensis var.brasiliensis	Citrusinine II
Citrus sinensis var. brasiliensis	Citbrasine
Cucumis melo	1-Acetoxy-3,6-nonadiene
Cucumis melo	19-Norlanosta-5,24-dien-11-one
